Material,Yarn Denier,Material description,Material type,Fabric Construction Code,Fabric Processing Code,Cord Density Code,Fill Cord,Linear Fill Cord Weight,Picks per Meter,Woven Fabric Width,Calculated Ends per Inch,Linear Fill Cord Weight DEN,Fabric Squarewoven Construction Code,Wire Construction Code,Cable Construction Code,Source,Cable Bead Coating,Gauge,Bead Inside Diameter,Component Weight,Fabric Processing Code.1
RF213D2A,,1X2.5+(9+15)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,7.7,213.0,0.2,
RF263E27,,1X3.0+(10+16)X1.30,,,,,,,,,,,,,,Cable Beads,BRASS,8.2,263.0,0.28,
RF263E2A,,1X3.0+(10+16)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,8.2,263.0,0.28,
RF265A,,1X1.20 MM+(5+12+18)X1.30 MM BRASS PLATED,,,,,,,,,,,,,,Cable Beads,BRASS,9.0,265.0,0.321,
RF265K37,,1X1.20+(5+12+18)X1.30,,,,,,,,,,,,,,Cable Beads,BRASS,9.0,265.0,0.32,
RF265K3A,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,265.0,0.32,
RF288K3A,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,288.0,0.35,
RF315E24,,CABD 315 1X3.0 + (7+14)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,11.0,315.0,0.59,
RF336D23,,CABD 336 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,336.0,0.628,
RF338D23,,CABD 338 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,338.0,0.631,
RF339D23,,CABD 339 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,339.0,0.48,
RF340D23,,CABD 340 1X2.5 + (7+13)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,9.7,340.0,0.635,
RF362E25,,CABD 362 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,362.0,0.768,
RF364E25,,CABD 364 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,364.0,0.77,
RF364F37,,1X4.0+(12+18+24)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,364.0,0.78,
RF364F3A,,1X4.0+(12+18+24)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.8,364.0,0.8,
RF365E25,,CABD 365 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,365.0,0.772,
RF366E25,,CABD 366 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,366.0,0.774,
RF366G3A,,1X5.0+(14+20+26)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,12.8,366.0,0.95,
RF366P2A,,1X6.0AL+(17+22)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.2,366.0,0.57,
RF370E25,,CABD 370 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,370.0,0.784,
RF372E25,,CABD 372 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,372.0,0.791,
RF380G33,,CABD 380 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,380.0,1.458,
RF382E33,,1X3.0+(8+14+20)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,382.0,1.12,
RF382G33,,CABD 382 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,382.0,1.47,
RF383K2A,,1X1.2+(6)X0.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.7,383.0,0.18,
RF383K2B,,CABD 383 1X1.2 + (6)X0.96 + (11)X1.20MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,383.0,0.172,
RF384G33,,CABD 384 1X5.0(11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,384.0,1.473,
RF385G33,,CABD 385 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,385.0,1.477,
RF38CK2B,,CABD 38C 1X1.2 + (6)X0.96+(11)X1.20,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,382.5,0.172,
RF38DE12,,CABD 38D 1X3.0 + (9)X1.55,,,,,,,,,,,,,,Cable Beads,BRONZE,6.1,383.5,0.232,
RF38DE17,,CABD 38D 1X3.0 + (10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.6,383.5,0.196,
RF38DK2B,,CABD 38D 1X1.2 + (6)X0.96+(11)X1.20,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,383.5,0.171,
RF392E33,,CABD 392 1X3.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,392.0,1.16,
RF394D33,,CABD 394 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,394.0,1.046,
RF396D33,,CABD 396 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,396.0,1.06,
RF408K2A,,1X1.2+(6)X0.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.7,408.0,0.19,
RF40HK2B,,1X1.2+(6)X0.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,407.5,0.18,
RF416E24,,CABD 416 1X3.0 + (7+14)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,11.0,416.0,0.769,
RF418D33,,CABD 418 1X2.5 + (7+13+19)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,418.0,1.108,
RF418E25,,CABD 418 1X3.0 + (7+13)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,418.0,0.881,
RF418G33,,CABD 418 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,418.0,1.603,
RF424G44,,CABD 424 1X5.0 + (10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,424.0,2.843,
RF431G44,,CABD 431 1X5.0 + (10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,431.0,2.89,
RF435H35,,CABD 435 1X6.0 + (11+17+23)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,19.2,435.0,2.488,
RF442G33,,CABD 442 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,442.0,2.214,
RF444G33,,CABD 444 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,444.0,2.214,
RF446G33,,CABD 446 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,446.0,1.697,
RF446G34,,1X5.0+(10+16+22)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,17.0,446.0,1.94,
RF448G33,,CABD 448 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,448.0,2.24,
RF448G44,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,448.0,3.0,
RF448M53,,1X5.0AL+(11+17+23+29+35)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,23.0,448.0,3.53,
RF450G33,,CABD 450 1X5.0 + (11+17+23)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,15.8,450.0,2.25,
RF456G55,,CABD 456 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,456.0,6.83,
RF456H54,,CABD 456 1X6.0 + (11+17+23+29+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.0,456.0,4.631,
RF460H54,,CABD 460 1X6.0 + (11+17+23+29+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.0,460.0,4.68,
RF460H65,,CABD 460 1X6.0 +(11+17+23+29+35+41)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,32.4,460.0,7.517,
RF468H45,,CABD 468 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,468.0,4.04,
RF470A,,1X4.0MM AL+(12+18+24+30)X1.30MM,,,,,,,,,,,,,,Cable Beads,BRASS,14.4,470.0,1.38,
RF470H45,,CABD 470 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,470.0,4.06,
RF470R4A,,1X4.0AL+(12+18+24+30)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,14.4,470.0,1.4,
RF472E5A,,1X3.0+(10+16+22+28+34)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,16.0,472.0,1.85,
RF472H45,,CABD 472 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,472.0,4.07,
RF474G43,,CABD 474 1X5.0 + (11+17+23+29)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,19.4,474.0,2.716,
RF476G43,,CABD 476 1X5.0 + (11+17+23+29)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,19.4,476.0,2.727,
RF476G44,,CABD 476 1X5.0 + (10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,476.0,3.167,
RF476H45,,CABD 476 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,476.0,4.11,
RF500A,,1X6.0MMALUM+(11+17+23)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,18.0,500.0,2.166,
RF500L24,,CABD 500 1X10.4MM AL+(18+25)X2.0MM STEEL,,,,,,,,,,,,,,Cable Beads,BRASS,18.4,500.0,2.105,
RF500P34,,1X6.0AL+(11+17+23)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,18.0,500.0,2.17,
RF50BL24,,CABD 1X10.4MM AL+(18+25) X 2.0MM BRASS,,,,,,,,,,,,,,Cable Beads,BRASS,18.4,501.5,2.11,
RF524H45,,CABD 524 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,524.0,4.5,
RF528H45,,CABD 528 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,528.0,4.533,
RF52DL34,,1X10.4AL+(18+25+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,523.5,3.51,
RF530H45,,CABD 530 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,530.0,4.526,
RF532H45,,CABD 532 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,532.0,4.65,
RF536G55,,CABD 536 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,536.0,6.2,
RF536H45,,CABD 536 1X6.0 + (11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,536.0,4.607,
RF536H54,,CABD 536 1X6.0 + (11+17+23+29+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.0,536.0,5.413,
RF547L34,,1X10.4AL+(18+25+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,547.0,3.67,
RF549L34,,1X10.4AL+(17)X2.2+(25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.8,549.0,3.82,
RF574G55,,CABD 574 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,574.0,6.45,
RF574T35,,1X13.8AL+(22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,574.0,5.45,
RF576G54,,1X5.0+(10+16+22+28+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,576.0,5.5,
RF576G55,,CABD 576 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,576.0,6.47,
RF579G55,,CABD 579 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,579.0,6.5,
RF57HN43,,1X9.4AL+(16+22+28)X2.0+(38)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,577.5,4.95,
RF581A,,1X9.4MM AL+(16+22+28+33)X2.2MM BRASS PLA,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,581.0,6.1,
RF581N45,,1X9.4AL+(16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,581.0,6.1,
RF582G55,,CABD 582 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,582.0,6.534,
RF584G55,,CABD 584 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,584.0,6.539,
RF584H54,,CABD 584 1X6.0 + (11+17+23+29+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.0,584.0,5.88,
RF587G55,,CABD 587 1X5.0 + (10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,587.0,6.588,
RF604H65,,CABD 604 1X6.0 +(11+17+23+29+35+40)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,32.4,604.0,9.691,
RF609H55,,CABD 609 1X6.0 + (11+18+24+30+36)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,32.4,609.0,7.312,
RF609H64,,CABD 609 1X6.0 +(11+17+23+29+35+41)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,30.0,609.0,8.1,
RF609H65,,CABD 609 1X6.0 +(11+17+23+29+35+40)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,32.4,609.0,9.767,
RF60ET44,,1X13.8AL+(23+29+35+40)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,29.8,604.5,7.13,
RF614H65,,CABD 614 1X6.0 +(11+17+23+29+35+40)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,32.4,614.0,9.843,
RFC00002,,1X4.0+(12+18+24)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.8,364.0,0.78,
RFC00003,,1X9.4ALUM+(16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,581.0,6.1,
RFC00004,,1X6.0ALUM+(11+17+23+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.0,451.0,3.126,
RFC00005,,CABD 394 1X2.5+(7+13+19)X1.8MM,,,,,,,,,,,,,,Cable Beads,BRASS,13.3,394.0,1.046,
RFC00006,,CABD 536 1X6.0+(11+17+23+29)X2.2MM,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,536.0,4.575,
RFC00007,,1X2.2+(6+11)X1.8MM,,,,,,,,,,,,,,Cable Beads,BRASS,9.4,383.5,0.51,
RFC00008,,1X2.5+(6+11)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,10.5,383.5,0.63,
RFC00009,,1X1.2+(6)X.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,402.5,0.17,
RFC000093,,1X10.4AL+(18+24+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,448.0,3.0,
RFC00010,,1X6.0ALUM+(11+17+23+30) X 2.0 MM,,,,,,,,,,,,,,Cable Beads,BRASS,22.0,449.0,3.061,
RFC00011,,1X6.0 MM STEEL+(11+17+23+29)X2.2 MM,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,527.0,4.536,
RFC00012,,1X10.4 MM ALUMINUM +(17+23+29)X2.2 MM,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,527.0,4.058,
RFC00013,,1X13.8 MM ALUMINUM +(26+32+36)X1.8 MM,,,,,,,,,,,,,,Cable Beads,BRASS,24.6,527.0,4.1,
RFC00014,,1X10.4 MM ALUMINUM +(18+25+31)X2.0 MM,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,527.0,3.585,
RFC00015,,1X5.0 MM AL +(11+17+23+29+35) X1.8 MM,,,,,,,,,,,,,,Cable Beads,BRASS,23.0,448.0,3.533,
RFC00016,,1X1.2+(6)X.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,405.0,0.181,
RFC00017,,1X1.2+(6)X.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,407.6,0.183,
RFC00019,,1X1.2+(6)X.96+(11)X1.2MM,,,,,,,,,,,,,,Cable Beads,BRONZE,5.52,410.1,0.184,
RFC00020,,1X2.5+(6+11)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,10.5,385.5,0.629,
RFC00021,,1X2.5+(6+11)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,10.5,386.5,0.631,
RFC00022,,1X4.0AL+(12+18+24+30)X1.30,,,,,,,,,,,,,,Cable Beads,BRONZE,14.4,470.0,1.38,
RFC00023,,1X3.0+(10+16)X1.30,,,,,,,,,,,,,,Cable Beads,BRONZE,8.2,263.0,0.277,
RFC00024,,1X3.0MM + (10+16)X1.30MM BRONZE,,,,,,,,,,,,,,Cable Beads,BRONZE,8.2,265.0,0.279,
RFC00025,,1X1.20 MM+(5+12+18)X1.30 MM BRASS PLATED,,,,,,,,,,,,,,Cable Beads,BRASS,9.0,265.0,0.321,
RFC00026,,1X3.0 MM + (10+16)X1.30 MM BRASS PLATED,,,,,,,,,,,,,,Cable Beads,BRASS,8.2,263.0,0.277,
RFC00027,,1X6.0MM AL CORE+(11+17+23)X2.0MM BRASS,,,,,,,,,,,,,,Cable Beads,BRASS,18.0,500.0,2.166,
RFC00028,,1X4.0MM AL+(12+18+24+30)X1.30MM BRASS,,,,,,,,,,,,,,Cable Beads,BRASS,14.4,470.0,1.38,
RFC00029,,CABD 536 1X6.0+(11+17+23+29)X2.2MM BRASS,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,536.0,4.607,
RFC00030,,1X10.4AL+(18+25+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,523.5,3.51,
RFC00031,,1X10.4AL + (18+25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,550.0,3.7,
RFC00032,,1X4.0+(12+18+24)X1.3 MM,,,,,,,,,,,,,,Cable Beads,BRASS,11.8,364.0,0.77,
RFC00034,,1X3.0+(10+16+22+28+34)X1.3MM,,,,,,,,,,,,,,Cable Beads,BRASS,16.0,472.0,1.84,
RFC00035,,1X5.0AL+(14+20+26+32)X1.3MM,,,,,,,,,,,,,,Cable Beads,BRASS,15.4,472.0,1.55,
RFC00036,,1X10.4AL+(18+25+31)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,548.5,3.68,
RFC00037,,1X3.0+(8+14+20)X1.8MM,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,382.0,1.12,
RFC00038,,1X10.4AL+(18+25+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,547.0,3.67,
RFC00039,,1X8.0 ALUMINUM + (21+27)X1.3MM,,,,,,,,,,,,,,Cable Beads,BRASS,13.2,366.0,0.76,
RFC00040,,1X5.0+(10+16+22+28+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,574.0,5.43,
RFC00041,,1X13.8 ALUMINUM + (23+29+35+40)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,29.8,603.0,7.11,
RFC00042,,1X6.0+(11+17+23+29)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,23.6,529.0,4.52,
RFC00043,,1X13.8 ALUMINUM +(23+29+35)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,25.8,547.0,4.58,
RFC00044,,1X13.8 ALUMINUM + (23+29+35+40)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,29.8,606.0,7.15,
RFC00045,,1X5.0+(14+20+26)X1.3MM,,,,,,,,,,,,,,Cable Beads,BRASS,12.8,366.0,0.94,
RFC00046,,1X13.8AL+(23+29+35+40)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,29.8,604.5,7.13,
RFC00047,,1X2.5+(9+15+21)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,10.3,265.0,0.45,
RFC00048,,1X10.4 ALUMINUM + (27+32+38)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,18.2,470.0,1.91,
RFC00049,,1X3.0+(8+14+20)X1.8MM,,,,,,,,,,,,,,Cable Beads,BRASS,13.8,379.0,1.1,
RFC00050,,1X13.8AL+(22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,577.5,5.51,
RFC00051,,1X5.0+(10+16+22+28+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,576.0,5.5,
RFC00052,,1X10.4AL+(18+24+31)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,548.0,3.67,
RFC00053,,1X10.4AL+(18+24+31)X2.0MM,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,549.0,3.67,
RFC00055,,1X5.0AL+(9X2.2)+(16+22+28X2.0)+(38X1.8),,,,,,,,,,,,,,Cable Beads,BRASS,25.0,577.5,5.2,
RFC00056,,1X5.0AL+(8X2.2)+(15+21+27X2.0)+(38X1.8),,,,,,,,,,,,,,Cable Beads,BRASS,25.0,577.5,5.0,
RFC00057,,1X2.5+(9+15)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,7.7,213.0,0.2,
RFC00058,,1X9.4AL+(16+22+28)X2.0+(38)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,577.5,4.95,
RFC00059,,1X9.4AL+(25+30+36+42+47)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,549.0,3.7,
RFC00061,,1X6.0AL+(10+16+23+29+35)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,28.0,604.5,6.95,
RFC00062,,1X9.4AL+(16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,604.5,6.3,
RFC00063,,1X9.4AL+(25+30+36+42+47)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,547.0,3.7,
RFC00064,,1X10.4AL+(18+25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,448.0,3.04,
RFC00065,,1X9.4AL+(16+22+28)X2.0+(38)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,576.0,4.95,
RFC00066,,1X13.8AL+(23+29+35)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,25.8,577.0,4.82,
RFC00067,,1X9.4AL+(17+23+29)X2.0+(38)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,575.0,4.98,
RFC00068,,1X6.0AL+(17+22)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,11.2,364.0,0.57,
RFC00069,,1X6.0AL+(11+17+23)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,19.2,422.0,2.21,
RFC00070,,1X9.4AL+(18+24+30)X1.8+(48+54+58)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,28.0,605.0,6.55,
RFC00071,,1X9.4AL+(16+22+28)X2.0+(38)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,25.0,579.0,4.98,
RFC00072,,1X9.4AL+(18+24+30)X1.8+(48+54+58)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,28.0,605.0,6.55,
RFC00073,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,448.0,3.0,
RFC00074,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,547.0,3.61,
RFC00075,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,550.0,3.63,
RFC00076,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,549.0,3.67,
RFC00077,,1X6.0AL+(17+22)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,11.2,366.0,0.57,
RFC00078,,1X10.4AL+(17)X2.2+(25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.8,549.0,3.82,
RFC00079,,1X10.4AL+(17)X2.2+(25+31+36)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.8,549.0,5.44,
RFC00080,,1X10.4AL+(17)X2.2+(25+31+36)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.8,548.0,5.43,
RFC00081,,1X5.0+(10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,549.0,6.18,
RFC00082,,1X5.0+(11+17+23+29+35)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,23.0,549.0,4.39,
RFC00083,,1X2.5+(9+15)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,7.7,213.0,0.2,
RFC00084,,1X5.0+(14+20+26)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,12.8,366.0,0.94,
RFC00085,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,265.0,0.32,
RFC00086,,1X3.0+(10+16+22+28+34)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,16.0,472.0,1.84,
RFC00087,,1X10.4AL+(17)X2.2+(25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.8,527.0,3.67,
RFC00088,,1X6.0AL+(17+22)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,11.2,366.0,0.57,
RFC00089,,1X10.4AL+(17)X2.2+(25+31+36)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,26.8,554.0,5.49,
RFC00090,,1X5.0+(10+16+22+28+33)X2.2,,,,,,,,,,,,,,Cable Beads,BRASS,27.0,554.0,6.24,
RFC00091,,1X5.0+(11+17+23+29+35)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,23.0,554.0,4.43,
RFC00092,,1X10.4AL+(17)X2.2+(25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.8,554.0,3.85,
RFC00093,,1X10.4AL+(18+24+30)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.4,448.0,3.0,
RFC00094,,1X1.2+(6)X.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,5.7,383.0,0.18,
RFC00095,,1X1.2+(6)X.96+(10)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,5.72,408.0,0.19,
RFC00096,,1X10.4CM+(17)X2.2+(25+31)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,22.8,549.0,3.6,
RFC00097,,1X10.4AL+(18)X2.0+(27)X1.8,,,,,,,,,,,,,,Cable Beads,BRASS,18.0,470.0,1.86,
RFC00098,,1X2.5+(9+15+21)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,10.3,265.0,0.44,
RFC00099,,1X13.8AL+(23+29+35+40)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,29.8,607.0,7.21,
RFC00100,,1X5.0+(10+16+22+28)X2.0,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,551.0,3.64,
RFC00101,,1X10.4AL+(18)X2.0+(36+42+47)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,22.2,551.0,3.61,
RFC00102,,1X5.0+(11+17+23)X1.8+(39+44)X1.3,,,,,,,,,,,,,,Cable Beads,BRASS,21.0,551.0,3.71,
RFC00103,,1X1.2+(5+12+18)X1.3,,,,,,,,,,,,,,Cable Beads,BRONZE,9.0,288.0,0.35,
