PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
29,3261,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
29,3261,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
29,3261,117,NZTSD,New Zealand Toxic Substances Database,,
9141,3082,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
9141,3082,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
9141,3082,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
9141,3082,91,TSCA,TSCA Certificate,TSCA,
9141,3082,117,NZTSD,New Zealand Toxic Substances Database,,
9141,3082,90,MSDS,MSDS Requirement,MSDS,
9141,3082,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
9141,3082,109,CEPA,Canadian Environmental Protection Act,,
9141,3082,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
9141,3082,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
9141,3082,112,AICS,Australian Inventory of chemical Substances,ELINCS,
1344,464,90,MSDS,MSDS Requirement,MSDS,
1344,464,91,TSCA,TSCA Certificate,TSCA,
1344,464,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
1344,464,109,CEPA,Canadian Environmental Protection Act,,
1344,464,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
1344,464,111,ELINCS,European REACH,CEPAN,
813,213,90,MSDS,MSDS Requirement,MSDS,
531,101,91,TSCA,TSCA Certificate,TSCA,
531,101,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
531,101,109,CEPA,Canadian Environmental Protection Act,,
531,101,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
531,101,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
531,101,112,AICS,Australian Inventory of chemical Substances,ELINCS,
531,101,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
531,101,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
531,101,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
531,101,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
531,101,117,NZTSD,New Zealand Toxic Substances Database,,
531,101,90,MSDS,MSDS Requirement,MSDS,
435,62,90,MSDS,MSDS Requirement,MSDS,
813,213,91,TSCA,TSCA Certificate,TSCA,
813,213,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
813,213,109,CEPA,Canadian Environmental Protection Act,,
813,213,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
813,213,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
813,213,112,AICS,Australian Inventory of chemical Substances,ELINCS,
813,213,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
813,213,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
813,213,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
813,213,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
813,213,117,NZTSD,New Zealand Toxic Substances Database,,
435,62,91,TSCA,TSCA Certificate,TSCA,
435,62,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
435,62,109,CEPA,Canadian Environmental Protection Act,,
435,62,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
435,62,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
435,62,112,AICS,Australian Inventory of chemical Substances,ELINCS,
435,62,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
435,62,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
435,62,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
435,62,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
435,62,117,NZTSD,New Zealand Toxic Substances Database,,
2388,2241,91,TSCA,TSCA Certificate,TSCA,
823,223,90,MSDS,MSDS Requirement,MSDS,
823,223,91,TSCA,TSCA Certificate,TSCA,
823,223,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
823,223,109,CEPA,Canadian Environmental Protection Act,,
823,223,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
823,223,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
823,223,112,AICS,Australian Inventory of chemical Substances,ELINCS,
823,223,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
823,223,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
823,223,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
823,223,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
823,223,117,NZTSD,New Zealand Toxic Substances Database,,
2388,2241,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
4404,2221,90,MSDS,MSDS Requirement,MSDS,
4404,2221,91,TSCA,TSCA Certificate,TSCA,
4404,2221,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
4404,2221,109,CEPA,Canadian Environmental Protection Act,,
4404,2221,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
4404,2221,111,ELINCS,European REACH,CEPAN,
4404,2221,112,AICS,Australian Inventory of chemical Substances,ELINCS,
4404,2221,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
4404,2221,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
4404,2221,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
4404,2221,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
761,207,90,MSDS,MSDS Requirement,MSDS,
761,207,91,TSCA,TSCA Certificate,TSCA,
761,207,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
761,207,109,CEPA,Canadian Environmental Protection Act,,
761,207,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
761,207,111,ELINCS,European REACH,CEPAN,
761,207,112,AICS,Australian Inventory of chemical Substances,ELINCS,
