MATERIAL_CODE_ID,PGM_ID,PROP_PLANT_TRIAL,PROPOSED_PLANT_FOR_TRIAL,TIRE_LINE_ID,REGION_ID,PROPOSED_REGION_FOR_TRIAL
33,,,,,,
34,,,,,,
35,102375.0,,,,,
35,25772.0,26.0,Fulda,,3.0,EMEA
35,99619.0,,,,,
35,38466.0,19.0,Philippsburg,,3.0,EMEA
35,41236.0,46.0,Aurangabad,,4.0,AP
35,38382.0,49.0,Montlucon,,3.0,EMEA
35,38465.0,52.0,Fuerstenwalde,,3.0,EMEA
35,102857.0,,,,,
35,46747.0,37.0,Malaysia,,4.0,AP
35,46748.0,40.0,Thailand,,4.0,AP
35,38469.0,24.0,Sava,,3.0,EMEA
35,38895.0,32.0,Chile,,1.0,North America
35,64946.0,,,,,
35,38806.0,,,,,
35,38470.0,23.0,Adapazari,,3.0,EMEA
35,47291.0,47.0,Indonesia,,4.0,AP
35,44330.0,18.0,Debica,,3.0,EMEA
35,38468.0,27.0,South Africa,,3.0,EMEA
35,25288.0,100.0,Pulandian,1.0,4.0,AP
35,130513.0,100.0,Pulandian,,4.0,AP
36,,,,,,
37,1661.0,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,132214.0,,,,,
47,77178.0,47.0,Indonesia,,4.0,AP
47,131156.0,,,,,
47,78275.0,100.0,Pulandian,,4.0,AP
47,131662.0,,,,,
47,75131.0,18.0,Debica,,3.0,EMEA
47,117609.0,,,,,
47,130512.0,40.0,Thailand,,4.0,AP
47,132215.0,,,,,
47,75870.0,,,,,
47,117899.0,27.0,South Africa,,3.0,EMEA
47,130733.0,52.0,Fuerstenwalde,,3.0,EMEA
47,76224.0,21.0,Luxembourg,,3.0,EMEA
47,132086.0,47.0,Indonesia,,4.0,AP
47,102186.0,,,,,
47,141781.0,100.0,Pulandian,,4.0,AP
47,141275.0,,,,,
47,138177.0,,,,,
47,141071.0,,,,,
47,141211.0,,,,,
47,140212.0,,,,,
47,140696.0,,,,,
47,42282.0,,,,,
47,42283.0,,,,,
47,42284.0,,,,,
47,42285.0,,,,,
47,42286.0,,,,,
47,42287.0,,,,,
47,42288.0,,,,,
47,42289.0,,,,,
47,42290.0,,,,,
47,42291.0,,,,,
47,43074.0,11.0,Valleyfield,,1.0,North America
47,34299.0,9.0,Medicine Hat,,1.0,North America
47,84249.0,,,,,
47,77544.0,46.0,Aurangabad,,4.0,AP
47,110677.0,32.0,Chile,,1.0,North America
47,127877.0,40.0,Thailand,,4.0,AP
47,78825.0,,,,,
47,110857.0,51.0,Wittlich,,3.0,EMEA
47,130786.0,18.0,Debica,,3.0,EMEA
47,69007.0,100.0,Pulandian,,4.0,AP
47,34298.0,3.0,Topeka,,1.0,North America
47,50084.0,,,,,
47,61590.0,,,,,
47,42769.0,,,,,
47,59782.0,3.0,Topeka,,1.0,North America
47,60271.0,10.0,Napanee,,1.0,North America
47,59781.0,3.0,Topeka,,1.0,North America
47,59785.0,3.0,Topeka,,1.0,North America
47,55396.0,5.0,Fayetteville,,1.0,North America
47,65525.0,37.0,Malaysia,,4.0,AP
47,34994.0,,,,,
47,42770.0,,,,,
47,42279.0,,,,,
47,42280.0,,,,,
47,42281.0,,,,,
47,23225.0,45.0,Ballabgarh,,4.0,AP
47,24908.0,5.0,Fayetteville,,1.0,North America
47,42594.0,2.0,Gadsden,,1.0,North America
47,31220.0,2.0,Gadsden,,1.0,North America
47,14907.0,,,,,
47,18115.0,,,,,
47,15075.0,46.0,Aurangabad,21.0,4.0,AP
47,15940.0,,,,,
47,13292.0,,,,,
47,13328.0,40.0,Thailand,,4.0,AP
47,13327.0,37.0,Malaysia,,4.0,AP
47,13507.0,36.0,Venezuela,25.0,2.0,LA
47,13288.0,,,,,
47,13326.0,47.0,Indonesia,,4.0,AP
47,13416.0,35.0,Peru,25.0,2.0,LA
47,13293.0,,,,,
47,13640.0,35.0,Peru,,2.0,LA
47,14000.0,,,,,
47,3601.0,2.0,Gadsden,,1.0,North America
47,9422.0,,,,,
47,12681.0,46.0,Aurangabad,,4.0,AP
47,13200.0,9.0,Medicine Hat,,1.0,North America
47,13149.0,44.0,Dalian,,4.0,AP
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,14036.0,40.0,Thailand,,4.0,AP
53,,,,,,
54,13608.0,4.0,Union City,,1.0,North America
55,13604.0,8.0,Lawton,,1.0,North America
55,128517.0,21.0,Luxembourg,,3.0,EMEA
56,,,,,,
57,,,,,,
58,4207.0,,,,,
59,,,,,,
60,,,,,,
61,13473.0,21.0,Luxembourg,23.0,3.0,EMEA
61,13471.0,21.0,Luxembourg,23.0,3.0,EMEA
62,15009.0,16.0,Buffalo / Tonawanda,,1.0,North America
62,15048.0,16.0,Buffalo / Tonawanda,,1.0,North America
62,16413.0,16.0,Buffalo / Tonawanda,,1.0,North America
63,138915.0,18.0,Debica,,3.0,EMEA
63,3888.0,51.0,Wittlich,,3.0,EMEA
63,140887.0,18.0,Debica,,3.0,EMEA
63,132414.0,51.0,Wittlich,,3.0,EMEA
63,79595.0,18.0,Debica,,3.0,EMEA
63,80321.0,,,,,
63,139039.0,100.0,Pulandian,,4.0,AP
63,140697.0,24.0,Sava,,3.0,EMEA
63,64258.0,,,,,
63,64259.0,24.0,Sava,,3.0,EMEA
63,79051.0,18.0,Debica,,3.0,EMEA
63,111208.0,51.0,Wittlich,,3.0,EMEA
63,120557.0,24.0,Sava,,3.0,EMEA
63,50544.0,26.0,Fulda,,3.0,EMEA
63,50635.0,27.0,South Africa,,3.0,EMEA
63,42390.0,26.0,Fulda,,3.0,EMEA
63,20426.0,100.0,Pulandian,,4.0,AP
63,21148.0,26.0,Fulda,,3.0,EMEA
63,20427.0,26.0,Fulda,,3.0,EMEA
