MATERIAL_CODE_ID,MATERIAL_CODE,REVISION_NO,MATERIAL_GROUP,CLASS,SUBCLASS,DOUBLE_SUBCLASS,EUROPE_CLASS,MANET_CLASS,MANET_SUBCLASS,UPDATED_CMNTS,MATERIAL_DESC,IS_ACTIVE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILLER,FLY_LOSS
6241,RFZ11TU32HF,0,REINFORCEMENT,FABRIC,POLYESTER - HMLS,,,,,"remove, SOS Review 4/17/13
","HMLS POLYESTER 1440/1/2, 9X9TPI, 32EPI HF",N,2800,2011-02-02 10:28:19,216.0,2013-04-19 15:51:01,FABR,FABR,FABR,N,Y, ,0.1,0.0,0.0,0.0,0.1
6242,RFZ04TC28HF,0,REINFORCEMENT,FABRIC,POLYESTER - HMLS,,,,,9 digit fabric codes should never be in SOS,HMLS POLYESTER  1100/1/2 12 X 12 TPI 28EPI HF,N,2800,2011-02-02 10:29:17,216.0,2015-07-08 14:11:07,FABR,FABR,FABR,N,Y,S,1.0,0.0,0.0,0.0,1.0
3303,RFLJ27GA,0,REINFORCEMENT,FABRIC,NYLON 6,,,,,"Inactivated, SOS Review April 2013",NYLON 6 940/2 10X12TPI 27EPI GA,N,28,2009-07-29 09:34:57,216.0,2013-04-18 15:54:41,FABR,FABR,FABR,N,Y, ,0.1,0.0,0.0,0.0,1.0
3341,RFBA01FN/N,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,4+3x.35 UT,N,1121,2009-09-01 03:17:27,,,WIRE,WIRE,,,,,,0.0,0.0,0.0,
4582,RFD201FN,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,4+3x.35 UT,N,1121,2010-04-26 04:49:46,30.0,2010-04-29 14:31:55,WIRE,WIRE,,,,,,0.0,0.0,0.0,
5161,RFU09T,0,REINFORCEMENT,YARN,POLYESTER - HMLS,,,,,edit description,2200 DECITEX (2000 DENIER) NAA HMLS PET,Y,216,2010-08-30 07:38:25,216.0,2014-06-04 13:39:09,FABR,FABR,FABR,N,N, ,1.0,0.0,0.0,0.0,1.0
5688,RFC17GDS,0,REINFORCEMENT,Single End Dipped Cord,FIBERGLASS,,,,,C17G yarn not produce anymore.,Fiberglass 3300/3 1.5 TPI S SA,N,216,2010-11-02 15:01:56,1060.0,2020-02-19 14:26:23,FABR,SCORD,FABR,N,N, ,1.0,0.0,0.0,0.0,0.0
3542,RFS01Q,0,REINFORCEMENT,YARN,POLYESTER - HMLS AA,,,,,,1100 DECITEX AA HMLS POLYESTER,Y,160,2009-09-30 14:28:29,,,,,,,,,,0.0,0.0,0.0,
3701,RFZ102UW,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,2+2X.295 HT,N,1121,2009-10-30 09:12:22,,,WIRE,WIRE,,,,,,0.0,0.0,0.0,
3761,RF022JH,0,REINFORCEMENT,WIRE,BEAD WIRE,,,,,,0.89MM BEAD WIRE - HIGH TENSILE,N,159,2009-11-12 10:54:05,,,WIRE,WIRE,BEAD,,,,,0.0,0.0,0.0,
4201,RFS02Q,0,REINFORCEMENT,YARN,POLYESTER - HMLS AA,,,,,edit description,1440 DECITEX (1300 DENIER) AA HMLS POLYESTER,Y,216,2010-02-08 14:55:04,216.0,2014-06-04 13:27:44,FABR,FABR,FABR,N,Y, ,1.0,0.0,0.0,0.0,1.0
4841,RFQ10RY28SH/A,0,REINFORCEMENT,FABRIC,RAYON,,,,,WRONG CODE FORMAT,"1840/2, 10.4 x 10.4 TPI, 28 EPI, SH",N,1122,2010-06-15 05:38:56,216.0,2011-01-21 15:44:57,FABR,FABR,RAYON,,,,,0.0,0.0,0.0,
5621,RFZ11T,0,REINFORCEMENT,YARN,POLYESTER - HMLS,,,,,,1440 Decitex (1300 denier) NAA-HMLS PET,Y,216,2010-10-29 11:02:27,,,,,,,,,,0.0,0.0,0.0,
5687,RFC17GBZ PILOT,0,REINFORCEMENT,Single End Dipped Cord,FIBERGLASS,,,,,C17G yarn not produce anymore.,Fiberglass 3300/2 1.5 TPI Z SA Pilot,N,216,2010-11-02 15:00:35,1060.0,2020-02-19 14:25:04,FABR,FABR,FABR,N,N, ,1.0,0.0,0.0,0.0,0.0
6521,RFS01N,0,REINFORCEMENT,YARN,"NYLON 6,6",,,,,,"940 DECITEX NYLON 6,6",Y,34,2011-03-17 11:32:52,,,,,,,,,,0.0,0.0,0.0,
6781,RFDFGFDG,0,REINFORCEMENT,FABRIC,RAYON,,,,,to inactivate a test program,Dipped fabric,N,2603,2011-05-20 10:05:05,216.0,2011-05-20 10:12:07,FABR,FABR,RAYON,,,,,0.0,0.0,0.0,
6801,RF192BH,0,REINFORCEMENT,WIRE,BEAD WIRE,,,,,,1.295MM BEAD WIRE - HIGH TENSILE,N,1121,2011-05-23 02:16:42,30.0,2011-10-25 12:16:19,WIRE,WIRE,BEAD,,,,,0.0,0.0,0.0,
7361,RFE09A,0,REINFORCEMENT,YARN,ARAMID,,,,,,ARAMID 1670 dtex,Y,3442,2011-10-31 11:57:05,,,,,,,,,,0.0,0.0,0.0,
7721,RFBH01UG,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,1X.20/18X.175 ST,N,1121,2012-01-23 08:52:48,30.0,2012-02-24 14:49:46,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7921,RFS04TC28HF,0,REINFORCEMENT,FABRIC,POLYESTER - HMLS,,,,,,HMLS POLYESTER  1100/1/2 12 X 12 TPI 28EPI HF,N,2800,2012-03-16 05:30:25,30.0,2012-03-20 17:46:55,FABR,FABR,,,,,,0.0,0.0,0.0,
8221,RFY101US,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3+2X.35 ST,N,2340,2012-05-07 16:14:26,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8222,RFY101UH,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3X.265/9X.245+1 HT,N,2340,2012-05-07 16:15:53,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8281,RFBL01FN,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,4+3x.35 UT,N,1121,2012-05-14 09:12:30,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
6421,RF9471,0,REINFORCEMENT,Miscellaneous,FILL,,,,,Inactivating Material,"22's/1 Thermax(polyester), Lightly Waxed",N,216,2011-02-22 10:37:33,10640.0,2024-06-10 16:42:10,FABR,FABRSQW,MISC,N,N, ,1.0,0.0,0.0,0.0,0.0
6441,RFH09L,0,REINFORCEMENT,YARN,NYLON 6,,,,,edit description,2100 Decitex Nylon 6,Y,216,2011-02-23 07:34:42,216.0,2014-05-29 14:56:15,FABR,FABR,FABR,N,Y, ,1.0,0.0,0.0,0.0,1.0
6461,RF9495,0,REINFORCEMENT,Miscellaneous,FILL,,,,,Inactivating Material,NYLON 6 LYCRA SQUARE WOVEN,N,216,2011-02-23 12:10:07,10640.0,2024-06-10 16:48:37,FABR,FABRSQW,MISC,N,N, ,1.0,0.0,0.0,0.0,0.0
6561,RFP101FP,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,the material code is incorrect,1x.21/18x.185 UT,N,159,2011-03-28 09:03:13,216.0,2011-09-29 13:08:26,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7021,RFQ11N,0,REINFORCEMENT,YARN,"NYLON 6,6",,,,,,	1400 Decitex (1260 denier) Nylon 66,Y,216,2011-07-21 13:02:36,,,,,,,,,,0.0,0.0,0.0,
7201,RF715G,0,REINFORCEMENT,YARN,FIBERGLASS,,,,,,3300 Decitex Fiberglass,Y,34,2011-08-16 11:37:53,,,,,,,,,,0.0,0.0,0.0,
7341,RFL24,0,REINFORCEMENT,WIRE,CABLE BEAD,,,,,to correct material description,1x10.4+(18+25) x 2.0,N,216,2011-10-28 09:52:42,28.0,2018-03-28 11:06:42,BEAD,CABLBD,BEAD,N,Y, ,0.1,0.0,0.0,0.0,0.0
