PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
22,37841,110,CEPA,,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,110,CEPA,,49.0,Montlucon,EMEA,18681.0,AP
22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,LA
22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,North America
22,37841,111,CEPAN,,49.0,Montlucon,EMEA,18681.0,AP
22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,LA
22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,North America
22,37841,112,ELINCS,Y,49.0,Montlucon,EMEA,18681.0,AP
22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,LA
22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,AP
22,37841,113,EINECS,Y,49.0,Montlucon,EMEA,18681.0,North America
22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,LA
22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,AP
22,37841,114,KKDIK,,49.0,Montlucon,EMEA,18681.0,North America
22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,AP
22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,LA
22,37841,116,ENCS,Y,49.0,Montlucon,EMEA,18681.0,North America
22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,AP
22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,LA
22,37841,203,ISHL,,49.0,Montlucon,EMEA,18681.0,North America
22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,North America
22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,LA
22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,EMEA
22,37841,204,IECSA,Y,49.0,Montlucon,EMEA,18681.0,AP
23,21,90,MSDS,Y,,,,338.0,
23,21,91,TSCA,Y,,,,338.0,
23,21,109,TSCASEC,Y,,,,338.0,
23,21,110,CEPA,Y,,,,338.0,
23,21,111,CEPAN,Y,,,,338.0,
23,21,112,ELINCS,Y,,,,338.0,
23,21,113,EINECS,Y,,,,338.0,
23,21,114,KKDIK,Y,,,,338.0,
23,21,116,ENCS,Y,,,,338.0,
29,3261,90,MSDS,Y,,,,4061.0,LA
29,3261,91,TSCA,Y,,,,4061.0,LA
29,3261,109,TSCASEC,Y,,,,4061.0,LA
29,3261,110,CEPA,Y,,,,4061.0,LA
29,3261,111,CEPAN,N,,,,4061.0,LA
29,3261,112,ELINCS,Y,,,,4061.0,LA
29,3261,113,EINECS,Y,,,,4061.0,LA
29,3261,114,KKDIK,Y,,,,4061.0,LA
29,3261,116,ENCS,Y,,,,4061.0,LA
30,7866,90,MSDS,Y,56.0,Chem Beaumont,NA,222.0,North America
30,7866,91,TSCA,Y,56.0,Chem Beaumont,NA,222.0,North America
30,7866,109,TSCASEC,Y,56.0,Chem Beaumont,NA,222.0,North America
30,7866,110,CEPA,Y,56.0,Chem Beaumont,NA,222.0,North America
30,7866,111,CEPAN,U,56.0,Chem Beaumont,NA,222.0,North America
30,7866,112,ELINCS,U,56.0,Chem Beaumont,NA,222.0,North America
30,7866,113,EINECS,U,56.0,Chem Beaumont,NA,222.0,North America
30,7866,114,KKDIK,U,56.0,Chem Beaumont,NA,222.0,North America
30,7866,116,ENCS,U,56.0,Chem Beaumont,NA,222.0,North America
31,3101,90,MSDS,Y,,,,3521.0,North America
31,3101,91,TSCA,U,,,,3521.0,North America
31,3101,109,TSCASEC,U,,,,3521.0,North America
31,3101,110,CEPA,U,,,,3521.0,North America
31,3101,111,CEPAN,U,,,,3521.0,North America
