,PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
92,809,210,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
93,809,210,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
94,809,210,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
95,809,210,117,NZTSD,New Zealand Toxic Substances Database,,
96,9141,3082,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
97,888,313,90,MSDS,MSDS Requirement,MSDS,
98,869,301,91,TSCA,TSCA Certificate,TSCA,
99,869,301,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
100,869,301,109,CEPA,Canadian Environmental Protection Act,,
101,869,301,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
102,869,301,111,ELINCS,European REACH,CEPAN,
103,869,301,112,AICS,Australian Inventory of chemical Substances,ELINCS,
104,869,301,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
105,869,301,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
106,869,301,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
107,869,301,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
108,869,301,117,NZTSD,New Zealand Toxic Substances Database,,
109,887,308,90,MSDS,MSDS Requirement,MSDS,
110,887,308,91,TSCA,TSCA Certificate,TSCA,
111,887,308,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
112,887,308,109,CEPA,Canadian Environmental Protection Act,,
113,887,308,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
114,887,308,111,ELINCS,European REACH,CEPAN,
115,887,308,112,AICS,Australian Inventory of chemical Substances,ELINCS,
116,887,308,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
117,887,308,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
118,887,308,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
119,887,308,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
120,887,308,117,NZTSD,New Zealand Toxic Substances Database,,
121,887,311,117,NZTSD,New Zealand Toxic Substances Database,,
122,888,313,91,TSCA,TSCA Certificate,TSCA,
123,888,313,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
124,888,313,109,CEPA,Canadian Environmental Protection Act,,
125,888,313,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
126,888,313,111,ELINCS,European REACH,CEPAN,
127,888,313,112,AICS,Australian Inventory of chemical Substances,ELINCS,
128,888,313,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
129,888,313,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
130,888,313,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
131,888,313,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
132,888,313,117,NZTSD,New Zealand Toxic Substances Database,,
133,29,3261,90,MSDS,MSDS Requirement,MSDS,
134,29,3261,91,TSCA,TSCA Certificate,TSCA,
135,29,3261,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
136,29,3261,109,CEPA,Canadian Environmental Protection Act,,
137,29,3261,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
138,29,3261,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
139,29,3261,112,AICS,Australian Inventory of chemical Substances,ELINCS,
140,29,3261,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
141,29,3261,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
142,29,3261,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
143,29,3261,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
144,29,3261,117,NZTSD,New Zealand Toxic Substances Database,,
145,9141,3082,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
146,9141,3082,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
147,9141,3082,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
148,9141,3082,91,TSCA,TSCA Certificate,TSCA,
149,9141,3082,117,NZTSD,New Zealand Toxic Substances Database,,
150,9141,3082,90,MSDS,MSDS Requirement,MSDS,
151,9141,3082,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
152,9141,3082,109,CEPA,Canadian Environmental Protection Act,,
153,9141,3082,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
154,9141,3082,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
155,9141,3082,112,AICS,Australian Inventory of chemical Substances,ELINCS,
156,1344,464,90,MSDS,MSDS Requirement,MSDS,
157,1344,464,91,TSCA,TSCA Certificate,TSCA,
158,1344,464,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
159,1344,464,109,CEPA,Canadian Environmental Protection Act,,
160,1344,464,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
161,1344,464,111,ELINCS,European REACH,CEPAN,
162,813,213,90,MSDS,MSDS Requirement,MSDS,
163,531,101,91,TSCA,TSCA Certificate,TSCA,
164,531,101,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
165,531,101,109,CEPA,Canadian Environmental Protection Act,,
166,531,101,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
167,531,101,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
168,531,101,112,AICS,Australian Inventory of chemical Substances,ELINCS,
169,531,101,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
170,531,101,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
171,531,101,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
172,531,101,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
173,531,101,117,NZTSD,New Zealand Toxic Substances Database,,
174,531,101,90,MSDS,MSDS Requirement,MSDS,
175,435,62,90,MSDS,MSDS Requirement,MSDS,
176,813,213,91,TSCA,TSCA Certificate,TSCA,
177,813,213,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
178,813,213,109,CEPA,Canadian Environmental Protection Act,,
179,813,213,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
180,813,213,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
181,813,213,112,AICS,Australian Inventory of chemical Substances,ELINCS,
182,813,213,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
183,813,213,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
184,813,213,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
185,813,213,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
186,813,213,117,NZTSD,New Zealand Toxic Substances Database,,
187,435,62,91,TSCA,TSCA Certificate,TSCA,
188,435,62,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
189,435,62,109,CEPA,Canadian Environmental Protection Act,,
190,435,62,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
191,435,62,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
192,435,62,112,AICS,Australian Inventory of chemical Substances,ELINCS,
193,435,62,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
194,435,62,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
195,435,62,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
196,435,62,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
197,435,62,117,NZTSD,New Zealand Toxic Substances Database,,
198,2388,2241,91,TSCA,TSCA Certificate,TSCA,
199,823,223,90,MSDS,MSDS Requirement,MSDS,
200,823,223,91,TSCA,TSCA Certificate,TSCA,
201,823,223,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
202,823,223,109,CEPA,Canadian Environmental Protection Act,,
203,823,223,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
204,823,223,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
205,823,223,112,AICS,Australian Inventory of chemical Substances,ELINCS,
206,823,223,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
207,823,223,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
208,823,223,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
209,823,223,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
210,823,223,117,NZTSD,New Zealand Toxic Substances Database,,
211,2388,2241,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
212,4404,2221,90,MSDS,MSDS Requirement,MSDS,
