AP_PGM_ID,PGM_ID,REGION_ID,REGION_NAME,GY_PLANT_ID,PROH_PLANT_NAME
6966,11962,,,,
6968,11964,,,,
6981,12041,1.0,NA,,
6981,12041,2.0,LA,,
6981,12041,4.0,AP,,
7015,12223,1.0,NA,,
7015,12223,2.0,LA,,
7015,12223,3.0,EMEA,,
7015,12223,4.0,AP,,
7029,12301,1.0,NA,,
7031,12321,1.0,NA,,
7039,12361,1.0,NA,,
7039,12361,2.0,LA,,
7039,12361,3.0,EMEA,,
7039,12361,4.0,AP,,
7046,12404,4.0,AP,,
7048,12422,1.0,NA,,
7055,12501,1.0,NA,,
7055,12501,2.0,LA,,
7055,12501,3.0,EMEA,,
7055,12501,4.0,AP,,
7058,12504,1.0,NA,,
7058,12504,2.0,LA,,
7058,12504,3.0,EMEA,,
7058,12504,4.0,AP,,
7069,12529,1.0,NA,,
7069,12529,2.0,LA,,
7069,12529,3.0,EMEA,,
7069,12529,4.0,AP,,
7087,12601,1.0,NA,,
7087,12601,2.0,LA,,
7087,12601,3.0,EMEA,,
7087,12601,4.0,AP,,
7108,12762,1.0,NA,4.0,Union City
7108,12762,2.0,LA,,
7130,12846,,,,
7145,12921,3.0,EMEA,,
7150,12944,1.0,NA,,
7150,12944,2.0,LA,,
7150,12944,3.0,EMEA,,
7150,12944,4.0,AP,,
7151,12945,1.0,NA,,
7151,12945,2.0,LA,,
7151,12945,3.0,EMEA,,
7151,12945,4.0,AP,,
7153,12947,1.0,NA,,
7153,12947,2.0,LA,,
7153,12947,3.0,EMEA,,
7153,12947,4.0,AP,,
7165,12956,3.0,EMEA,,
7172,12961,3.0,EMEA,21.0,Luxembourg
7183,12971,1.0,NA,,
7183,12971,2.0,LA,,
7183,12971,4.0,AP,,
7203,12985,1.0,NA,,
7203,12985,2.0,LA,,
7203,12985,3.0,EMEA,,
7203,12985,4.0,AP,,
7206,12987,1.0,NA,,
7206,12987,2.0,LA,,
7206,12987,3.0,EMEA,,
7206,12987,4.0,AP,,
7217,12997,1.0,NA,,
7217,12997,2.0,LA,,
7217,12997,3.0,EMEA,,
7217,12997,4.0,AP,,
7223,13002,1.0,NA,,
7223,13002,2.0,LA,,
7223,13002,3.0,EMEA,,
7228,13005,1.0,NA,,
7233,13009,,,,
7235,13010,3.0,EMEA,,
7245,13020,3.0,EMEA,21.0,Luxembourg
7247,13021,1.0,NA,,
7247,13021,2.0,LA,,
7247,13021,3.0,EMEA,,
7247,13021,4.0,AP,,
7248,13022,1.0,NA,,
7248,13022,2.0,LA,,
7248,13022,3.0,EMEA,,
7248,13022,4.0,AP,,
7252,13026,1.0,NA,,
7252,13026,2.0,LA,,
7252,13026,3.0,EMEA,,
7252,13026,4.0,AP,,
7253,13027,3.0,EMEA,,
7254,13028,3.0,EMEA,,
6958,11904,1.0,NA,,
6958,11904,2.0,LA,,
6958,11904,3.0,EMEA,,
6958,11904,4.0,AP,,
6986,12082,1.0,NA,,
7007,12205,3.0,EMEA,,
7063,12523,1.0,NA,,
7063,12523,2.0,LA,,
7070,12530,1.0,NA,,
7070,12530,2.0,LA,,
7070,12530,3.0,EMEA,,
7070,12530,4.0,AP,,
7073,12533,4.0,AP,,
7109,12763,1.0,NA,3.0,Topeka
7109,12763,2.0,LA,,
7125,12841,1.0,NA,,
7125,12841,2.0,LA,,
7125,12841,3.0,EMEA,,
7125,12841,4.0,AP,,
7126,12842,,,,
7193,12978,2.0,LA,,
7207,12988,1.0,NA,,
7207,12988,2.0,LA,,
7207,12988,3.0,EMEA,,
7207,12988,4.0,AP,,
7209,12990,1.0,NA,,
7213,12994,2.0,LA,,
7215,12995,1.0,NA,,
7215,12995,2.0,LA,,
7215,12995,3.0,EMEA,,
7215,12995,4.0,AP,,
7220,12999,4.0,AP,,
7255,13029,1.0,NA,,
7255,13029,2.0,LA,,
7255,13029,3.0,EMEA,,
7255,13029,4.0,AP,,
7257,13030,1.0,NA,,
7257,13030,2.0,LA,,
7257,13030,3.0,EMEA,,
7257,13030,4.0,AP,,
7260,13033,1.0,NA,,
7260,13033,2.0,LA,,
7260,13033,3.0,EMEA,,
7260,13033,4.0,AP,,
7263,13035,1.0,NA,,
7263,13035,2.0,LA,,
7263,13035,3.0,EMEA,,
7263,13035,4.0,AP,,
7264,13036,1.0,NA,,
7265,13037,1.0,NA,,
7267,13039,1.0,NA,,
7268,13040,1.0,NA,,
7268,13040,2.0,LA,,
7268,13040,3.0,EMEA,,
7268,13040,4.0,AP,,
7272,13044,1.0,NA,,
7272,13044,2.0,LA,,
7272,13044,3.0,EMEA,,
7272,13044,4.0,AP,,
7274,13046,2.0,LA,,
7276,13048,1.0,NA,,
7276,13048,2.0,LA,,
7276,13048,3.0,EMEA,,
7276,13048,4.0,AP,,
7277,13049,1.0,NA,,
7277,13049,2.0,LA,,
7277,13049,3.0,EMEA,,
7277,13049,4.0,AP,,
7279,13051,1.0,NA,,
7279,13051,2.0,LA,,
7279,13051,3.0,EMEA,,
7279,13051,4.0,AP,,
7280,13052,1.0,NA,,
7281,13053,1.0,NA,,
6943,11821,2.0,LA,,
6953,11883,1.0,NA,,
6953,11883,2.0,LA,,
6953,11883,3.0,EMEA,,
6953,11883,4.0,AP,,
6975,12005,1.0,NA,,
6975,12005,2.0,LA,,
6975,12005,3.0,EMEA,,
6975,12005,4.0,AP,,
6979,12023,1.0,NA,,
6979,12023,2.0,LA,,
6979,12023,3.0,EMEA,,
6979,12023,4.0,AP,,
6984,12062,1.0,NA,,
6984,12062,2.0,LA,,
6984,12062,3.0,EMEA,,
6984,12062,4.0,AP,,
6995,12143,1.0,NA,,
6995,12143,2.0,LA,,
6995,12143,3.0,EMEA,,
6995,12143,4.0,AP,,
7004,12202,1.0,NA,,
7004,12202,2.0,LA,,
7004,12202,3.0,EMEA,,
7004,12202,4.0,AP,,
7013,12221,4.0,AP,44.0,Dalian
7025,12283,3.0,EMEA,,
7028,12286,3.0,EMEA,,
7051,12461,1.0,NA,,
7051,12461,2.0,LA,,
7051,12461,3.0,EMEA,,
7051,12461,4.0,AP,,
7061,12521,3.0,EMEA,,
7065,12525,1.0,NA,,
7065,12525,2.0,LA,,
7077,12543,1.0,NA,,
7077,12543,2.0,LA,,
7077,12543,3.0,EMEA,,
7077,12543,4.0,AP,,
7091,12641,1.0,NA,,
7091,12641,2.0,LA,,
7091,12641,3.0,EMEA,,
7091,12641,4.0,AP,,
7097,12681,1.0,NA,,
7097,12681,2.0,LA,,
7097,12681,3.0,EMEA,,
7097,12681,4.0,AP,,
7113,12781,1.0,NA,,
7113,12781,2.0,LA,30.0,Americana
7115,12783,2.0,LA,,
7129,12845,,,,
7132,12848,,,,
7135,12851,,,,
7136,12852,1.0,NA,,
7136,12852,2.0,LA,,
7136,12852,3.0,EMEA,,
7136,12852,4.0,AP,,
7211,12992,1.0,NA,,
7211,12992,2.0,LA,,
7211,12992,3.0,EMEA,,
7211,12992,4.0,AP,,
7216,12996,3.0,EMEA,,
7221,13000,1.0,NA,,
7221,13000,2.0,LA,,
7221,13000,4.0,AP,,
7229,13006,1.0,NA,,
7249,13023,1.0,NA,,
7249,13023,2.0,LA,,
7249,13023,3.0,EMEA,,
7249,13023,4.0,AP,,
7251,13025,1.0,NA,,
7251,13025,2.0,LA,,
7251,13025,3.0,EMEA,,
7251,13025,4.0,AP,,
7258,13031,1.0,NA,,
7258,13031,2.0,LA,,
7258,13031,3.0,EMEA,,
7258,13031,4.0,AP,,
7261,13034,1.0,NA,,
7261,13034,2.0,LA,,
7261,13034,3.0,EMEA,,
7261,13034,4.0,AP,,
7275,13047,1.0,NA,,
7275,13047,2.0,LA,,
7275,13047,3.0,EMEA,,
7275,13047,4.0,AP,,
6962,11922,1.0,NA,,
6962,11922,2.0,LA,,
6962,11922,3.0,EMEA,,
6962,11922,4.0,AP,,
6980,12024,1.0,NA,,
6980,12024,2.0,LA,,
6980,12024,3.0,EMEA,,
6980,12024,4.0,AP,,
6987,12083,1.0,NA,,
6989,12101,1.0,NA,,
6989,12101,2.0,LA,,
6989,12101,3.0,EMEA,,
6989,12101,4.0,AP,,
7008,12206,1.0,NA,,
7008,12206,2.0,LA,,
7008,12206,3.0,EMEA,,
7008,12206,4.0,AP,,
7016,12224,,,,
7056,12502,1.0,NA,,
7056,12502,2.0,LA,,
7056,12502,3.0,EMEA,,
7056,12502,4.0,AP,,
7057,12503,1.0,NA,,
7057,12503,2.0,LA,,
7057,12503,3.0,EMEA,,
7057,12503,4.0,AP,,
7059,12505,1.0,NA,,
7059,12505,2.0,LA,,
7059,12505,3.0,EMEA,,
7059,12505,4.0,AP,,
7060,12506,3.0,EMEA,,
7074,12534,1.0,NA,,
7075,12541,3.0,EMEA,,
7082,12582,1.0,NA,,
7082,12582,2.0,LA,,
7082,12582,3.0,EMEA,,
7082,12582,4.0,AP,,
7085,12585,3.0,EMEA,18.0,Debica
7099,12701,2.0,LA,,
7099,12701,3.0,EMEA,,
7099,12701,4.0,AP,,
7101,12721,1.0,NA,2.0,Gadsden
7101,12721,2.0,LA,,
7111,12765,1.0,NA,1.0,Danville
7111,12765,2.0,LA,,
7116,12784,2.0,LA,35.0,Peru
7117,12785,2.0,LA,36.0,Venezuela
7131,12847,,,,
7134,12850,,,,
7160,12952,3.0,EMEA,,
7176,12965,1.0,NA,,
7176,12965,2.0,LA,,
7176,12965,3.0,EMEA,,
7176,12965,4.0,AP,,
7179,12968,1.0,NA,,
7179,12968,2.0,LA,,
7179,12968,3.0,EMEA,,
7179,12968,4.0,AP,,
7180,12969,1.0,NA,,
7180,12969,2.0,LA,,
7180,12969,3.0,EMEA,,
7180,12969,4.0,AP,,
7191,12977,1.0,NA,,
7191,12977,2.0,LA,,
7191,12977,3.0,EMEA,,
7191,12977,4.0,AP,,
7200,12983,1.0,NA,,
7200,12983,2.0,LA,,
7200,12983,3.0,EMEA,,
7200,12983,4.0,AP,,
7201,12984,3.0,EMEA,,
7225,13003,2.0,LA,36.0,Venezuela
7250,13024,1.0,NA,,
7250,13024,2.0,LA,,
7250,13024,3.0,EMEA,,
7250,13024,4.0,AP,,
7259,13032,1.0,NA,,
7259,13032,2.0,LA,,
7259,13032,3.0,EMEA,,
7259,13032,4.0,AP,,
7266,13038,1.0,NA,,
7273,13045,1.0,NA,,
7278,13050,1.0,NA,,
7278,13050,2.0,LA,,
7278,13050,3.0,EMEA,,
7278,13050,4.0,AP,,
6945,11841,3.0,EMEA,,
6946,11842,1.0,NA,,
6947,11843,3.0,EMEA,,
6951,11881,1.0,NA,,
6951,11881,2.0,LA,,
6951,11881,3.0,EMEA,,
6951,11881,4.0,AP,,
6952,11882,1.0,NA,,
6952,11882,2.0,LA,,
6952,11882,3.0,EMEA,,
6952,11882,4.0,AP,,
6956,11902,1.0,NA,,
6956,11902,2.0,LA,,
6956,11902,3.0,EMEA,,
6956,11902,4.0,AP,,
6961,11921,1.0,NA,,
6961,11921,2.0,LA,,
6961,11921,3.0,EMEA,,
6961,11921,4.0,AP,,
6969,11981,3.0,EMEA,49.0,Montlucon
6988,12084,1.0,NA,,
6991,12121,1.0,NA,,
6998,12162,1.0,NA,,
6999,12181,,,,
7009,12207,1.0,NA,,
7009,12207,2.0,LA,,
7009,12207,3.0,EMEA,,
7009,12207,4.0,AP,,
7017,12241,1.0,NA,,
7017,12241,2.0,LA,,
7017,12241,3.0,EMEA,,
7017,12241,4.0,AP,,
7027,12285,3.0,EMEA,,
7034,12342,1.0,NA,,
7034,12342,2.0,LA,,
7034,12342,3.0,EMEA,,
7034,12342,4.0,AP,,
7047,12421,4.0,AP,45.0,Ballabgarh
7049,12441,,,,
7071,12531,1.0,NA,,
7071,12531,2.0,LA,,
7071,12531,3.0,EMEA,,
7071,12531,4.0,AP,,
7076,12542,3.0,EMEA,,
7114,12782,,,,
7123,12823,1.0,NA,,
7123,12823,2.0,LA,,
7123,12823,3.0,EMEA,,
7123,12823,4.0,AP,44.0,Dalian
7133,12849,,,,
7139,12861,1.0,NA,,
7139,12861,2.0,LA,,
7139,12861,3.0,EMEA,,
7139,12861,4.0,AP,,
7149,12943,1.0,NA,,
7149,12943,2.0,LA,,
7149,12943,3.0,EMEA,,
7149,12943,4.0,AP,,
7159,12951,3.0,EMEA,,
7173,12962,1.0,NA,,
7173,12962,2.0,LA,,
7173,12962,3.0,EMEA,,
7173,12962,4.0,AP,,
7174,12963,1.0,NA,,
7174,12963,2.0,LA,,
7174,12963,3.0,EMEA,,
7174,12963,4.0,AP,,
7184,12972,1.0,NA,,
7184,12972,2.0,LA,,
7184,12972,3.0,EMEA,,
7184,12972,4.0,AP,,
7189,12976,1.0,NA,,
7205,12986,1.0,NA,,
7205,12986,2.0,LA,,
7205,12986,3.0,EMEA,,
7205,12986,4.0,AP,,
7210,12991,1.0,NA,,
7210,12991,2.0,LA,,
7210,12991,3.0,EMEA,,
7210,12991,4.0,AP,,
7231,13007,1.0,NA,,
7231,13007,2.0,LA,,
7231,13007,3.0,EMEA,,
7231,13007,4.0,AP,,
6971,12001,,,,
6972,12002,2.0,LA,,
6982,12042,1.0,NA,,
6982,12042,2.0,LA,,
6982,12042,3.0,EMEA,,
6982,12042,4.0,AP,,
6985,12081,3.0,EMEA,,
7003,12201,1.0,NA,,
7003,12201,2.0,LA,,
7003,12201,3.0,EMEA,,
7003,12201,4.0,AP,,
7006,12204,1.0,NA,,
7006,12204,2.0,LA,,
7006,12204,3.0,EMEA,,
7006,12204,4.0,AP,,
7014,12222,4.0,AP,39.0,Taiwan
7019,12261,1.0,NA,,
7019,12261,2.0,LA,,
7019,12261,3.0,EMEA,,
7019,12261,4.0,AP,,
7023,12281,3.0,EMEA,,
7026,12284,3.0,EMEA,,
7033,12341,1.0,NA,,
7033,12341,2.0,LA,,
7033,12341,3.0,EMEA,,
7033,12341,4.0,AP,,
7035,12343,1.0,NA,,
7044,12402,1.0,NA,,
7044,12402,2.0,LA,,
7044,12402,3.0,EMEA,,
7044,12402,4.0,AP,,
7045,12403,1.0,NA,,
7045,12403,2.0,LA,,
7045,12403,3.0,EMEA,,
7045,12403,4.0,AP,,
7066,12526,1.0,NA,,
7066,12526,2.0,LA,,
7081,12581,1.0,NA,,
7081,12581,2.0,LA,,
7081,12581,3.0,EMEA,,
7081,12581,4.0,AP,,
7083,12583,3.0,EMEA,18.0,Debica
7084,12584,3.0,EMEA,18.0,Debica
7089,12621,,,,
7094,12644,1.0,NA,,
7103,12723,1.0,NA,,
7107,12761,1.0,NA,,
7107,12761,2.0,LA,,
7107,12761,3.0,EMEA,,
7107,12761,4.0,AP,,
7119,12801,,,,
7127,12843,,,,
7141,12881,3.0,EMEA,,
7142,12882,,,,
7143,12901,1.0,NA,,
7155,12948,1.0,NA,,
7155,12948,2.0,LA,,
7155,12948,3.0,EMEA,,
7155,12948,4.0,AP,,
7157,12949,1.0,NA,1.0,Danville
7157,12949,2.0,LA,,
7157,12949,3.0,EMEA,,
7157,12949,4.0,AP,,
7161,12953,3.0,EMEA,,
7163,12955,3.0,EMEA,,
7186,12974,1.0,NA,,
7186,12974,2.0,LA,,
7186,12974,4.0,AP,,
7219,12998,1.0,NA,,
7219,12998,2.0,LA,,
7219,12998,3.0,EMEA,,
7219,12998,4.0,AP,,
7227,13004,4.0,AP,,
7232,13008,1.0,NA,,
6941,11801,4.0,AP,,
6957,11903,1.0,NA,,
6957,11903,2.0,LA,,
6957,11903,3.0,EMEA,,
6957,11903,4.0,AP,,
6959,11905,1.0,NA,,
6959,11905,2.0,LA,,
6959,11905,3.0,EMEA,,
6959,11905,4.0,AP,,
6967,11963,3.0,EMEA,,
6983,12061,1.0,NA,,
6983,12061,2.0,LA,,
6983,12061,3.0,EMEA,,
6983,12061,4.0,AP,,
6993,12141,1.0,NA,,
6993,12141,2.0,LA,,
6993,12141,3.0,EMEA,,
6993,12141,4.0,AP,,
6994,12142,1.0,NA,,
6994,12142,2.0,LA,,
6994,12142,3.0,EMEA,,
6994,12142,4.0,AP,,
7005,12203,1.0,NA,,
7005,12203,2.0,LA,,
7005,12203,3.0,EMEA,,
7005,12203,4.0,AP,,
7020,12262,1.0,NA,,
7020,12262,2.0,LA,,
7020,12262,3.0,EMEA,,
7020,12262,4.0,AP,,
7024,12282,3.0,EMEA,,
7036,12344,1.0,NA,,
7037,12345,1.0,NA,,
7037,12345,2.0,LA,,
7037,12345,3.0,EMEA,,
7037,12345,4.0,AP,,
7041,12381,1.0,NA,,
7041,12381,2.0,LA,,
7041,12381,3.0,EMEA,,
7041,12381,4.0,AP,,
7053,12481,1.0,NA,,
7054,12482,1.0,NA,,
7062,12522,3.0,EMEA,,
7067,12527,1.0,NA,,
7067,12527,2.0,LA,,
7072,12532,4.0,AP,,
7079,12561,1.0,NA,,
7079,12561,2.0,LA,,
7079,12561,3.0,EMEA,,
7079,12561,4.0,AP,,
7093,12643,1.0,NA,,
7102,12722,1.0,NA,,
7121,12821,1.0,NA,,
7121,12821,2.0,LA,,
7121,12821,3.0,EMEA,,
7121,12821,4.0,AP,,
7158,12950,1.0,NA,,
7158,12950,2.0,LA,,
7158,12950,3.0,EMEA,,
7158,12950,4.0,AP,,
7162,12954,1.0,NA,,
7162,12954,2.0,LA,,
7162,12954,3.0,EMEA,,
7162,12954,4.0,AP,,
7171,12960,1.0,NA,,
7171,12960,2.0,LA,,
7171,12960,3.0,EMEA,,
7175,12964,1.0,NA,,
7175,12964,2.0,LA,,
7175,12964,3.0,EMEA,,
7175,12964,4.0,AP,,
7177,12966,1.0,NA,,
7177,12966,2.0,LA,,
7177,12966,3.0,EMEA,,
7177,12966,4.0,AP,,
7178,12967,1.0,NA,,
7178,12967,2.0,LA,,
