MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS
RAW MATERIAL,0,ANTITE,"SODIUM SULFITE, ANHYDROUS",N,ESSECO USA,"TRECATE, ITALY",TRECATE,Others,Italy,"SODIUM SULFITE, SULFTECH GR",CALLAWAY CHEMICAL,"Dalton, GA, USA",Dalton,GA,USA,,,,ANTITE,,, , ,N,N,NA,"Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls",NA,"Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls","Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls"
RAW MATERIAL,3,SYDNINE,TDAE,Y,ORGKHIM,Uren,Uren,Others,Russia,NORMAN-346,ORGKHIM,Orgkhim China,,Others,China,,,,SYDNINE,,, , ,Y,Y,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,3,SYDNINE,TDAE,Y,ORGKHIM,Uren,Uren,Others,Russia,NORMAN-346,PT Wira Servindo Kirana Abadi,Kompleks Marina Mangga Dua,Jakarta,Others,Indonesia,,,,SYDNINE,,, , ,Y,Y,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,3,SYDNINE,TDAE,Y,ORGKHIM,Uren,Uren,Others,Russia,NORMAN-346,"SHANGHAI LEEYUAN TRADING CO., LTD.",Zunyi Rd - Shanghai,Zunyi Rd - Shanghai,Others,China,,,,SYDNINE,,, , ,Y,Y,"AP, EMEA, LA, NA",,AP,,
RAW MATERIAL,3,SYDNINE,TDAE,Y,ORGKHIM,Uren,Uren,Others,Russia,NORMAN-346,BIOLANIC,KRAKOW,KRAKOW,Others,Poland,,,,SYDNINE,,, , ,Y,Y,"AP, EMEA, LA, NA",,EMEA,,
RAW MATERIAL,2,CODE21,BICARBONATE OF SODA,N,SOLVAY,"Chicago Heights, IL, USA",Chicago Heights,IL,USA,SODIUM BICARBONATE,STETSON CHEMICAL,UNSPECIFIED,,Others,Others,,,,CODE21,,, , ,N,N,NA,"Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls",NA,"Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls","Chem Bayport, Chem Beaumont, Chem Houston, Chem Niagara Falls"
RAW MATERIAL,2,CODE28,CORN STARCH,N,SOUTH AFRICA PRODUCE,UNSPECIFIED,,Others,Others,CORN STARCH,COURLANDER AGENTS,UNSPECIFIED,,Others,Others,,,,CODE28,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,2,CODE28,CORN STARCH,N,REFINERIAS DE MAIZ,"Buenos Aires, Argentina",Buenos Aires,Others,Argentina,ALMIDON DE MAIZEN POLVO,,,,,,,,,CODE28,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,2,CODE28,CORN STARCH,N,PENNICK AND FORD,UNSPECIFIED,,Others,Others,REDRIED CORN STARCH,,,,,,,,,CODE28,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,2,CODE28,CORN STARCH,N,CLINTON CORN PROCESSING,UNSPECIFIED,,Others,Others,SPECIAL \"O\" POWDERED,,,,,,,,,CODE28,,, , ,N,,"AP, EMEA, LA, NA",,,,
