,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
713,806,806,NA,
714,806,806,LA,
715,806,806,EMEA,
716,806,806,AP,
717,810,810,NA,
718,810,810,LA,
719,810,810,EMEA,Adapazari
720,810,810,AP,
723,810,810,EMEA,Izmit
725,862,862,NA,
726,862,862,LA,
727,862,862,EMEA,
728,862,862,AP,
729,867,867,NA,
730,867,867,LA,
731,867,867,EMEA,
732,867,867,AP,
733,870,870,NA,
734,871,871,,
735,902,902,NA,
736,902,902,LA,
737,902,902,EMEA,
738,902,902,AP,
739,921,921,EMEA,
740,942,942,NA,
741,942,942,LA,
742,942,942,EMEA,
743,942,942,AP,
744,1044,1044,NA,
745,1046,1046,NA,
746,1057,1057,NA,
747,1061,1061,NA,
748,1061,1061,LA,
749,1061,1061,EMEA,
750,1061,1061,AP,
751,1101,1101,,
752,1162,1162,EMEA,
753,1163,1163,EMEA,
754,1201,1201,EMEA,
755,1204,1204,EMEA,
756,1323,1323,NA,
757,1346,1346,NA,
758,1346,1346,LA,
759,1346,1346,EMEA,
760,1346,1346,AP,
761,1443,1443,NA,
762,1462,1462,AP,Indonesia
763,1511,1511,NA,
764,1511,1511,LA,
765,1511,1511,EMEA,
766,1511,1511,AP,
767,1641,1641,NA,
768,1643,1643,,
769,1743,1743,NA,
770,1743,1743,LA,
771,1743,1743,EMEA,
772,1743,1743,AP,
773,1801,1801,EMEA,
774,1941,1941,NA,
775,2015,2015,NA,
776,2018,2018,NA,
777,2021,2021,NA,
778,2021,2021,LA,
779,2021,2021,EMEA,
780,2021,2021,AP,
781,2022,2022,NA,
782,2022,2022,LA,
783,2022,2022,EMEA,
784,2022,2022,AP,
785,2023,2023,NA,
786,2023,2023,LA,
787,2023,2023,EMEA,
788,2023,2023,AP,
789,2024,2024,NA,
790,2024,2024,LA,
791,2024,2024,EMEA,
792,2024,2024,AP,
793,2025,2025,NA,
794,2025,2025,LA,
795,2025,2025,EMEA,
796,2025,2025,AP,
797,2102,2102,NA,
798,2102,2102,LA,
799,2102,2102,EMEA,
800,2102,2102,AP,
801,2162,2162,NA,
802,2162,2162,LA,
803,2162,2162,EMEA,
804,2162,2162,AP,
805,2181,2181,NA,
806,2181,2181,LA,
807,2181,2181,EMEA,
808,2181,2181,AP,
809,2208,2208,NA,
810,2208,2208,LA,
811,2208,2208,EMEA,
812,2208,2208,AP,
813,2226,2226,NA,
814,2226,2226,LA,
815,2226,2226,EMEA,
816,2226,2226,AP,
817,2227,2227,NA,
818,2227,2227,LA,
819,2227,2227,EMEA,
820,2227,2227,AP,
821,2244,2244,NA,
822,2244,2244,LA,
823,2244,2244,EMEA,
824,2244,2244,AP,
825,2267,2267,NA,
826,2267,2267,LA,
827,2267,2267,EMEA,
828,2267,2267,AP,
829,701,701,NA,
830,701,701,LA,
831,701,701,EMEA,
832,701,701,AP,
833,723,724,,
834,802,802,NA,
835,802,802,LA,
836,802,802,EMEA,
837,802,802,AP,
838,805,805,NA,
839,805,805,LA,
840,805,805,EMEA,
841,805,805,AP,
842,809,809,NA,
843,809,809,LA,
844,809,809,EMEA,
845,809,809,AP,
846,812,812,NA,
847,812,812,LA,
848,812,812,EMEA,
849,812,812,AP,
850,813,813,NA,
851,813,813,LA,
852,813,813,EMEA,
853,813,813,AP,
854,824,824,NA,
855,824,824,LA,
856,824,824,EMEA,
857,824,824,AP,
858,864,864,NA,
859,864,864,LA,
860,864,864,EMEA,
861,864,864,AP,
862,903,903,NA,
863,903,903,LA,
864,903,903,EMEA,
865,903,903,AP,
866,947,947,AP,
867,1001,1001,,
868,1048,1048,NA,
869,1049,1049,NA,
870,1224,1224,NA,
871,1321,1321,,
872,1342,1342,NA,
873,1342,1342,LA,
874,1342,1342,EMEA,
875,1342,1342,AP,
876,1344,1344,NA,
877,1344,1344,LA,
878,1344,1344,EMEA,
879,1344,1344,AP,
880,1345,1345,NA,
881,1345,1345,LA,
882,1345,1345,EMEA,
883,1345,1345,AP,
884,1361,1361,NA,
885,1361,1361,LA,
886,1361,1361,EMEA,
887,1361,1361,AP,
888,1467,1467,NA,
889,1471,1471,,
890,1472,1472,,
891,1481,1481,NA,
