PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
14697,36728,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578D10054B948,11761,1001,on click of 'Send Mail Button' available in Auth to trial (NM-RAW),U
13348,62121,Notes://GISNA002/C1257B03004AA485/0686A0FF083CA050C125662E006810F4/C1257B03004AA485C1257B3A004EAA15,11761,240,Tires Built Successfully,U
18116,58881,/ttspool/mis/1358521081898_MSDS UBEPOL-MBR500.PDF,11768,170,On clicking of 'Submit Button',F
18116,67621,/ttspool/mis/1378448618471_2013 CIRF rev 14Jan2013_UBE_MBR_130903.pdf,11768,170,On clicking of 'Submit Button',F
18157,59083,/ttspool/mis/1358867791146_RSSDS_XZ_87084_10_engl.pdf,11773,170,On clicking of 'Submit Button',F
18158,73682,/ttspool/mis/1397138308309_2014CIRFRevisionMar2014-KUMHOSOL5251H.xlsx,11774,170,On clicking of 'Submit Button',F
18158,126682,/ttspool/mis/1590573775673_2020 Raw Material CIRF_2020_05_28_5251H.xlsx,11774,170,On clicking of 'Submit Button',F
18158,126683,/ttspool/mis/1590574228487_SOL-5251H_german_20200205.pdf,11774,170,On clicking of 'Submit Button',F
18158,126741,/ttspool/mis/1591089000747_MSDS_SOL 5251H_ENG.PDF,11774,170,On clicking of 'Submit Button',F
18159,58981,/ttspool/mis/1358801134038_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11775,170,On clicking of 'Submit Button',F
18159,58982,/ttspool/mis/1358801134039_Mosellic DOE Polymer Studies.xlsx,11775,170,On clicking of 'Submit Button',F
18160,58984,/ttspool/mis/1358801323064_Mosellic DOE Polymer Studies.xlsx,11776,170,On clicking of 'Submit Button',F
18160,58983,/ttspool/mis/1358801323064_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11776,170,On clicking of 'Submit Button',F
18161,58985,/ttspool/mis/1358801445737_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11777,170,On clicking of 'Submit Button',F
18161,58986,/ttspool/mis/1358801445738_Mosellic DOE Polymer Studies.xlsx,11777,170,On clicking of 'Submit Button',F
18162,58987,/ttspool/mis/1358801567122_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11778,170,On clicking of 'Submit Button',F
18162,58988,/ttspool/mis/1358801567123_Mosellic DOE Polymer Studies.xlsx,11778,170,On clicking of 'Submit Button',F
18163,58989,/ttspool/mis/1358801654140_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11779,170,On clicking of 'Submit Button',F
18163,58990,/ttspool/mis/1358801654141_Mosellic DOE Polymer Studies.xlsx,11779,170,On clicking of 'Submit Button',F
18164,58991,/ttspool/mis/1358801804108_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11780,170,On clicking of 'Submit Button',F
18164,58992,/ttspool/mis/1358801804109_Mosellic DOE Polymer Studies.xlsx,11780,170,On clicking of 'Submit Button',F
13702,36421,/ttspool/mis/1310581612524_X0007662 Rev 0.doc,11781,47,on click of 'Send Mail' available in the Spec Section,F
13702,36681,/ttspool/mis/1310992034792_X0007662.html,11781,50,on click of 'Send Mail Button' available in Add SAP Section,F
