PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
18395,61102,/ttspool/mis/1362989331260_REACH Certification_MK-221_ 2012_11_14.pdf,11952,170,On clicking of 'Submit Button',F
18397,64821,/ttspool/mis/1371564289577_2013 CIRF rev 14Jan2013.xls,11954,170,On clicking of 'Submit Button',F
18397,64822,/ttspool/mis/1371564289759_Karta techniczna ang KDMD2.pdf,11954,170,On clicking of 'Submit Button',F
18397,64823,/ttspool/mis/1371564289760_KDMD2.pdf,11954,170,On clicking of 'Submit Button',F
18397,64824,/ttspool/mis/1371564289761_REACH Certification 2012.doc,11954,170,On clicking of 'Submit Button',F
18399,60361,/ttspool/mis/1361536167321_MSDS English 11-07-2011.pdf,11956,1012,Material in EMEA,F
18399,60362,/ttspool/mis/1361536195018_MSDS English 11-07-2011.pdf,11956,1010,Attach MSDS,F
18399,61065,/ttspool/mis/1362755486413_spec acceptance 1352 Botlek.pdf,11956,1110,NS-RAW - Has Purchasing Attachment,F
18400,61104,/ttspool/mis/1362997621070_MSDS MK-888_D (eu).pdf,11957,170,On clicking of 'Submit Button',F
18400,61106,/ttspool/mis/1362997621071_2013 CIRF MK-888_D.xlsx,11957,170,On clicking of 'Submit Button',F
18400,61105,/ttspool/mis/1362997621071_REACH Certification_MK-888-D_2013-02-12.pdf,11957,170,On clicking of 'Submit Button',F
18401,60367,/ttspool/mis/1361542256838_Best Chem REACH Registration.pdf,11958,1012,Material in EMEA,F
