PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
22,37841,90,MSDS,Y,Montlucon,EMEA,,MSDS Requirement
22,37841,90,MSDS,Y,Montlucon,AP,,MSDS Requirement
22,37841,91,TSCA,Y,Montlucon,EMEA,per CIRF,TSCA Certificate
22,37841,91,TSCA,Y,Montlucon,LA,per CIRF,TSCA Certificate
22,37841,91,TSCA,Y,Montlucon,North America,per CIRF,TSCA Certificate
22,37841,91,TSCA,Y,Montlucon,AP,per CIRF,TSCA Certificate
22,37841,110,CEPAD,,Montlucon,North America,,European Inventory of Existing Commercial Chemical
22,37841,110,CEPAD,,Montlucon,LA,,European Inventory of Existing Commercial Chemical
22,37841,110,CEPAD,,Montlucon,EMEA,,European Inventory of Existing Commercial Chemical
22,37841,110,CEPAD,,Montlucon,AP,,European Inventory of Existing Commercial Chemical
22,37841,111,CEPAN,,Montlucon,North America,,European REACH
22,37841,111,CEPAN,,Montlucon,LA,,European REACH
22,37841,111,CEPAN,,Montlucon,EMEA,,European REACH
22,37841,111,CEPAN,,Montlucon,AP,,European REACH
22,37841,112,ELINCS,Y,Montlucon,EMEA,per CIRF,Australian Inventory of chemical Substances
22,37841,112,ELINCS,Y,Montlucon,LA,per CIRF,Australian Inventory of chemical Substances
22,37841,112,ELINCS,Y,Montlucon,North America,per CIRF,Australian Inventory of chemical Substances
22,37841,112,ELINCS,Y,Montlucon,AP,per CIRF,Australian Inventory of chemical Substances
22,37841,113,EINECS,Y,Montlucon,North America,per CIRF and SDS,Japanese Existing and New Chemical substances
22,37841,113,EINECS,Y,Montlucon,LA,per CIRF and SDS,Japanese Existing and New Chemical substances
22,37841,113,EINECS,Y,Montlucon,EMEA,per CIRF and SDS,Japanese Existing and New Chemical substances
22,37841,113,EINECS,Y,Montlucon,AP,per CIRF and SDS,Japanese Existing and New Chemical substances
22,37841,114,KKDIK,,Montlucon,North America,,Korean Existing Chemicals Inventory
22,37841,114,KKDIK,,Montlucon,LA,,Korean Existing Chemicals Inventory
22,37841,114,KKDIK,,Montlucon,EMEA,,Korean Existing Chemicals Inventory
22,37841,114,KKDIK,,Montlucon,AP,,Korean Existing Chemicals Inventory
22,37841,116,ENCS,Y,Montlucon,North America,per CIRF,Taiwan Existing and New Chemical Notification
22,37841,116,ENCS,Y,Montlucon,LA,per CIRF,Taiwan Existing and New Chemical Notification
22,37841,116,ENCS,Y,Montlucon,AP,per CIRF,Taiwan Existing and New Chemical Notification
