SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IP_VERSION,IP_SHORT_DESC,IC_ORDER
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,431CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,RONGCHENG CITY,,,252CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C402FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BEKAERT,ITAUNA - BRAZIL (BEAD WIRE),,,029CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,Pine Bluff,,,247CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFTEST1,1,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,"ALLIED CHEMICAL, SOLVAY",BRUSSELS,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KERN,TRINEC - KONSKA,,,391CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFLC16SD,1,Supplier,JUNMA,ZHANGJIAGANG,,,U08LC16SD,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,BILLARPUR,INDIA,,,UNSPECIFIED,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFU07L,1,Supplier,JUNMA,ZHANGJIAGANG,,,U07L,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFJOAX_FDC,7,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQC32PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QC32PF,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFFP,1,Supplier,PIRELLI,FIGLINE,,,P101FP,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,QINGDAO,,,246CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQU26PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QU26PF,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQV28,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,KISWIRE,NEWBERRY,,,243CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,NAT STAN,UITENHAGE,,,145CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFQV28,1,Supplier,KORDSA,CAMACARI,,,QV28,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFC17GAZ,1,Supplier,NGF,GUELPH - ON,,,C17GAZ,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
RFCH,1,Supplier,BMZ,MICORD,,,312CH,GPS Full Supplier Approval Review,,ipFullApprovalInformation,7
