SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,FILE_NAME
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,Documents,,General Documents,docDocuments,,,1223304809543_GYD3348.pdf
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,Documents,,General Documents,docDocuments,,,1320075480002_E09A spec.pdf
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,Documents,,General Documents,docDocuments,,,1223465426238_GYD3401.pdf
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,Documents,,General Documents,docDocuments,,,1345638654600_Q09RW31SB_A.pdf
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,Documents,,General Documents,docDocuments,,,1284656877243_Y00041.pdf
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,Documents,,General Documents,docDocuments,,,1329856121859_S00067_N Rev00.pdf
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,Documents,,General Documents,docDocuments,,,1344017006594_2012TTA216RWIM49909.pdf
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,Documents,,General Documents,docDocuments,,,See SIS
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,Documents,,General Documents,docDocuments,,,1426255627192_GY-CIRF.pdf
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,Documents,,General Documents,docDocuments,,,1426255627198_MSDS.pdf
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,Documents,,General Documents,docDocuments,,,1430132556426_S00095 4-27-15.pdf
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,Documents,,General Documents,docDocuments,,,1444254278598_TESC FP COA 2-15-2015.pdf
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,Documents,,General Documents,docDocuments,,,1411651290266_MSDS Nylon treated.doc
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,Documents,,General Documents,docDocuments,,,1438367773501_Nylon 6 CIRF Performance Fibers Mex july 2015.pdf
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,Documents,,General Documents,docDocuments,,,1653294458210_NYLON 66 KORDSA NYLON Polyamide 66 SDS EN.pdf
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,Documents,,General Documents,docDocuments,,,1614693400288_SQ-002198 WY 2020 CIRF Reinforcement.pdf
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,Documents,,General Documents,docDocuments,,,1614693400317_SQ-002198 MSDS Steelcord - Kiswire Cord Ltd - Rev 05 - ENG.pdf
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,Documents,,General Documents,docDocuments,,,1669028148850_WY - GSQA -Material Specifications.pdf
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,Documents,,General Documents,docDocuments,,,1614765479620_NS_111576 - WY - Rev_0 - FA01WY - KISWIRE - Szentgotthard_ Hungary.msg
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,Documents,,General Documents,docDocuments,,,1617106005746_SQ-002203 2020 Article Reinforcement.xlsx
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,Documents,,General Documents,docDocuments,,,1649878277839_SQ-002203 2020 Article Reinforcement.xlsx
