PGM_ID,APPROVAL_PROCESS_NAME,PGM_NAME,MATERIAL_GROUP,TECH_CENTER_LOC,NEED_BY_DATE,CREATED_DATE,ASSIGNED_TO,CREATOR,ASSIGNEE,REQUESTER,CURRENT_STATUS,PROGRAM_STAGE,MATERIAL_CODE,REVISION_NO,CLASS,SUB_CLASS,SUPPLIER_NAME,SUPPLIER_PLANT,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_PLANT_LOCATION,SUPPLIER_TRADENAME,AGENT_NAME,AGENT_PLANT,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_PLANT_LOCATION,COMMODITY_GROUP,MATERIAL_CATEGORY,REGION_FOR_TRIAL,PLANT_FOR_TRIAL,PLANT_SLOT,EXP_CODE,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILTER,RMI_DESC,MANET_CLASS,MANET_SUBCLASS,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,PGM_REASON,AGENT_BUILD_BREAK,REINGMI_DESC,MAT_CLASS,MAT_SUBCLASS,MAT_DOUBLE_SUBCLASS,APPROVAL_REGIONS,RESTRICTED_PLANTS,Computed_MATERIAL_CODE,sis_Supplier,sis_Plant,City MIS_x,sis_SIS_Plant_code,Supplier Opcenter_x,Plant Opcenter_x,Plant city_x,Plant state_x,Plant country_x,Active_x,sis_Agent,sis_A_Plant,City MIS_y,sis_Agent_Plant_code,Supplier Opcenter_y,Plant Opcenter_y,Plant city_y,Plant state_y,Plant country_y,Active_y
127997,SOURCE CHANGE,SC_127997,REINFORCEMENT,GTC*A,,2022-01-12 13:48:14,11760,Che-Che Lascona,Travis Swalve,,Created,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,BEKAERT,BRAZIL,,Others,Brazil,Brazil,091CH,,,,,,,Steel,Wire,LA,Colombia,2022-04-08,RF0046666,,,,,,,,,,,,,,"Procurement would like to introduce BBA ¿ Belgo Bekaert Arames new plant at Itauna, MG ¿ Brazil for bead wire code CH at Goodyear Peru with 100% allocation for 2022.

Incumbent supplier is BBA ¿ Belgo Bekaert Arames in Osasco, SP - Brazil who will be replaced by the new BBA Ita¿na Plant.

This project is part of the BBA new investment in Brazil transferring production from Osasco to Ita¿na. 

GY Americana project has already been completed (Project ID : SQ-002101)",,,,,,,,RF0046666,Bekaert Brazil ¿ BBA,Brazil,,DAO,BEKAERT,BRAZIL,,OTHERS,BRAZIL,Yes,,,,,,,,,,
42865,SOURCE CHANGE,SC_042865,REINFORCEMENT,GTC*L,,2017-01-12 12:33:16,750,Branden Pelle,Vickie Weeter,,Cancelled,PPO REINFORCMENT - Completed,RFCH,1,WIRE,BEAD WIRE,GUSTAV WOLF,GUTERSLOH,GUTERSLOH,Others,Germany,"GUTERSLOH, Germany",071CH,,,,,,,Steel,Wire,EMEA,Luxembourg,,RF0044472,,,,,,,,,,,,,,"Following business negotiations with Gustav Wolf for 2017, we will be completing a Source Change for CH to Luxembourg. Gustav Wolf will be allocated 20% of CH to Luxembourg in 2017 leading to a cost savings of about $3,118. This allocation is part of a global volume deal with Gustav Wolf that has a total savings of $142,928.",,,,,,,,RF0044472,GUSTAV WOLF,"GUTERSLOH, GERMANY",GUTERSLOH,,GUSTAV WOLF,GUTERSLOH,GUTERSLOH,OTHERS,GERMANY,Yes,,,,,,,,,,
50954,SOURCE CHANGE,SC_050954,REINFORCEMENT,GTC*L,,2018-01-10 12:53:51,6580,Klaudia Hailey,Ekrem Inaler,,Created,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,KISWIRE,CZECH REPUBLIC,Czech Republic,Others,Czech Republic,"Czech Republic, Czech Republic",248CH,,,,,,,Steel,Wire,EMEA,Luxembourg,,RF0045126,,,,,,,,,,,,,,"This Source Change trial is for 2018 Productivity purposes. A 23% allocation of CH in Luxembourg to Kiswire is associated with a savings of $56,286.",,,,,,,,RF0045126,Kiswire - Bead Wire,Czech Republic,Czech Republic,LXJ,KISWIRE,CZECH REPUBLIC,CZECH REPUBLIC,OTHERS,CZECH REPUBLIC,Yes,,,,,,,,,,
128687,REVISIONS,RE_128687,REINFORCEMENT,GTC*L,,2022-01-28 03:30:38,12360,Cyriel De Chausey,Cyriel De Chausey,,Completed,PAPER WORK - Completed,RFCH,1,WIRE,BEAD WIRE,,,,,,,,,,,,,,Steel,Wire,AP,Pulandian,2022-04-22,RFGL2118,,,,,,,,,,,,,,"Kiswire QIngdao did Pickling change , we need to do re-approval to secure the supply to PLD plant.",,1.83MM HT,WIRE,BEAD WIRE,,"AP, EMEA, LA, NA",,RFCH,,,,,,,,,,,,,,,,,,,,
128688,REVISIONS,RE_128688,REINFORCEMENT,GTC*L,,2022-01-28 03:49:37,12360,Cyriel De Chausey,Cyriel De Chausey,,Completed,PAPER WORK - Completed,RFCH,1,WIRE,BEAD WIRE,,,,,,,,,,,,,,Steel,Wire,AP,Nippon Giant,2022-06-03,RFGL2119,,,,,,,,,,,,,,"Kiswire Hongduk did pickling change, as Kiswire supply 100% allocation CH to NGT, need to ensure the supply by the re-approval completely earler",,1.83MM HT,WIRE,BEAD WIRE,,"AP, EMEA, LA, NA",,RFCH,,,,,,,,,,,,,,,,,,,,
135153,REVISIONS,RE_135153,REINFORCEMENT,GTC*L,,2022-07-13 06:41:01,12360,Cyriel De Chausey,Cyriel De Chausey,,Completed,PAPER WORK - Completed,RFCH,1,WIRE,BEAD WIRE,,,,,,,,,,,,,,Steel,Wire,EMEA,Izmit,2022-12-02,RFGL2123,,,,,,,,,,,,,,Security of supply,,1.83 mm HT,WIRE,BEAD WIRE,,"AP, EMEA, LA, NA",,RFCH,,,,,,,,,,,,,,,,,,,,
136530,SOURCE CHANGE,SC_136530,REINFORCEMENT,GTC*L,,2022-08-22 13:37:31,6580,Ryan Zilliox,Ekrem Inaler,,Created,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,BEKAERT,SLADKOVICOVO,SLADKOVICOVO,Others,Slovak Republic,"SLADKOVICOVO, Slovak Republic",027CH,,,,,,,Steel,Wire,EMEA,Wittlich,,RF0046966,,,,,,,,,,,,,,Plant transfer from Lux Tire due to Kiswire supply gap.,,,,,,,,RF0046966,BEKAERT,"SLADKOVICOVO, SLOVAK REPUBLIC",SLADKOVICOVO,EHK,BEKAERT,SLADKOVICOVO,SLADKOVICOVO,OTHERS,SLOVAK REPUBLIC,Yes,,,,,,,,,,
136167,REVISIONS,RE_136167,REINFORCEMENT,GTC*L,,2022-08-10 04:22:36,6200,Gabriel Bonnet,Gabriel Bonnet,,Completed,PAPER WORK - Completed,RFRW31SH,1,FABRIC,RAYON,,,,,,,,,,,,,,Fabric,Fabric,EMEA,Fulda,2023-04-14,RFGTC1272SH,,,,,,,,,,,,,,"Glanzstoff is optimizing its EU footprint and will use their slovakian plant Kordarna to do the twisting and weaving operations. Dipping would stay at TCS TextilCord. 
	
	This approval is a first step approval. RN26 will follow.
	
	Kordarna is already approved for RQ24SE
	
	0.093 EUR/kg is the advantage benefit or 20k$
",,"RAYON, 1220/1/2, 12,3/12,3 TPI, 31 EPI, SH",FABRIC,RAYON,,"AP, EMEA, LA, NA",,RFRW31SH,,,,,,,,,,,,,,,,,,,,
144959,SOURCE CHANGE,SC_144959,REINFORCEMENT,GTC*A,,2024-05-29 15:55:13,12560,Mark Cantos,Eric Wiedlund,,Created,PROGRAM INITIATION - In Progress ,RFFP,1,WIRE,STEEL CORD,BEKAERT,SHENYANG BSAP,Shenyang,Others,China,"BSAP, Shenyang, China",BL01FP,,,,,,,Steel,Wire,NA,Topeka,2024-07-26,RF0047608,,,,,,,,,,,,,,&#8203;Topeka has a supply gap June 1.  This project is to provide material to bridge that gap,,,,,,,,RF0047608,BEKAERT,"Shenyang BSAP, China",Shenyang,JOH,BEKAERT,SHENYANG BSAP,SHENYANG,OTHERS,CHINA,Yes,,,,,,,,,,
146002,SOURCE CHANGE,SC_146002,REINFORCEMENT,GTC*A,,2024-10-31 01:37:33,12560,Mark Cantos,Eric Wiedlund,,Created,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,KISWIRE,HONG DUK,Hong Duk,Others,South Korea,"Hong Duk, South Korea",242CH,,,,,,,Steel,Wire,LA,Americana,2025-02-21,RF0047814,,,,,,,,,,,,,,&#8203;Columbia has material that will expire in Jan. This project is to move some material to Ameriana.,,,,,,,,RF0047814,Kiswire - Bead Wire,"Hong Duk, South Korea",Hong Duk,JBU,KISWIRE,HONG DUK,HONG DUK,OTHERS,SOUTH KOREA,Yes,,,,,,,,,,
146125,REVISIONS,RE_146125,REINFORCEMENT,GTC*L,,2024-12-02 04:16:33,6601,Arun Manogaran,Arun Manogaran,,Completed,PAPER WORK - Completed,RFCH,1,WIRE,BEAD WIRE,,,,,,,,,,,,,,Steel,Wire,EMEA,Izmit,2024-12-20,RFGL2132,,,,,,,,,,,,,,new process change (change of cumar resin from C100 to YT-C100),,1.83mm HT,WIRE,BEAD WIRE,,"AP, EMEA, LA, NA",,RFCH,,,,,,,,,,,,,,,,,,,,
144670,SOURCE CHANGE,SC_144670,REINFORCEMENT,GTC*L,,2024-05-01 04:25:42,13440,Mark Cantos,Liping Hu,,Created,PROGRAM INITIATION - In Progress ,RFCH,1,WIRE,BEAD WIRE,KISWIRE,QINGDAO,Qingdao,Others,China,"Qingdao, China",246CH,,,,,,,Steel,Wire,AP,Qingdao,2024-07-12,RF0047549,,,,,,,,,,,,,,&#8203;&#8203;Security of Supply. Kiswire Rongcheng has the plan to do plant renovation.,,,,,,,,RF0047549,Kiswire - Bead Wire,"Qingdao, China",Qingdao,JMA,KISWIRE,QINGDAO,QINGDAO,OTHERS,CHINA,Yes,,,,,,,,,,
146351,SOURCE CHANGE,SC_146351,REINFORCEMENT,GTC*L,,2025-01-22 04:55:23,11401,Mark Cantos,Zhitian Zhao,,Created,PROGRAM INITIATION - In Progress ,RFLC16SD,1,FABRIC,NYLON 6,JUNMA,ZHANGJIAGANG,Zhangjiagang,Others,China,"Zhangjiagang, China",U08LC16SD,,,,,,,Fabric,Fabric,AP,Indonesia,,,,,,,,,,,,,,,,"Per Philippe (priority meeting, Jan 16th): Will just need to ensure that /C is updated in the spec and signed off by supplier.

&#8203;To improve the process, Indonesia team would like to change the Fabric width to suffix C.",,,,,,,,RF,Junma,Zhangjiagang,Zhangjiagang,JNC,JUNMA,ZHANGJIAGANG,ZHANGJIAGANG,OTHERS,CHINA,No,,,,,,,,,,
