SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,FILE_NAME
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_01_Reinforcement Material Info.html
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_02_Lab Evaluation.html
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_03_Prepare Plant Order.html
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_04_Processing Trial.html
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_05_Paper Work.html
RFCH,1,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,MIS Migrated Data,,Documents,docDocuments,,,OM_067620_Dashboard.html
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,Documents,docDocuments,,,NS_001224_00_Program Initiation.html
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,Documents,docDocuments,,,NS_001224_01_Reinforcement Material Info.html
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,Documents,docDocuments,,,NS_001224_02_Lab Evaluation.html
RFS00004,1,Supplier,BEKAERT,IZMIT,,,BA01FP,MIS Migrated Data,,Documents,docDocuments,,,NS_001224_Dashboard.html
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,MIS Migrated Data,,Documents,docDocuments,,,NS_001263_00_Program Initiation.html
RF0040084,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,MIS Migrated Data,,Documents,docDocuments,,,NS_001263_Dashboard.html
