SP_VALUE,SP_VERSION,FR_SHORT_DESC,FR_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,STYPE_VALUE,CREATED_BY,LC_DESC,LC_VERSION,SS_DESC,CREATED_ON,EFFECTIVE_FROM,EFFECTIVE_TILL,HAS_ADHOC_APPROVAL
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,BRAZIL,,,091CH,SRF,EventManager,Goodyear LC for Material Specifications,,@U,2025-02-18,,,
RFTEST1,1,SupplierReinforcement,,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,"ALLIED CHEMICAL, SOLVAY",BRUSSELS,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,BILLARPUR,INDIA,,,UNSPECIFIED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFU07L,1,SupplierReinforcement,,Supplier,JUNMA,ZHANGJIAGANG,,,U07L,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJOAX_FDC,7,SupplierReinforcement,,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFQC32PF,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,LISA,,,QC32PF,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,PIRELLI,FIGLINE,,,P101FP,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFQU26PF,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,LISA,,,QU26PF,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFQV28,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,NAT STAN,UITENHAGE,,,145CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFQV28,1,SupplierReinforcement,,Supplier,KORDSA,CAMACARI,,,QV28,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFC17GAZ,1,SupplierReinforcement,,Supplier,NGF,GUELPH - ON,,,C17GAZ,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,BEKAERT,AALTER,,,B101FP,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFQV28,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,ULSAN,,,QV28,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RF40HK2B,1,SupplierReinforcement,,Supplier,OTTO KUHLMANN,HEMER GERMANY,,,RF40HK2B,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFNJ27JF,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,AMERICANA,,,NJ27JF,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFNT30UA,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,LISA,,,NT30UA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFLV19JA,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,AMERICANA,,,LV19JA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFNC16KR,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,UTICA,,,NC16KR,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RF9496,1,SupplierReinforcement,,Supplier,FRONTIER SPINNING MILLS,SANDFORD,,,FILL,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
